roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p06_r0001,4,12,40,48,0.9375,1.908252053136781e-05,0.0387726814169753
sio2 all 20 dish white_p06_r0002,8,16,36,44,0.984375,4.610694304013074e-05,0.03391839131950631
sio2 all 20 dish white_p06_r0003,8,16,40,48,1.0,1.5906603168543052e-05,0.03484313847674938
sio2 all 20 dish white_p06_r0004,8,16,44,52,1.0,1.951451267581558e-05,0.03759644086221943
sio2 all 20 dish white_p06_r0005,8,16,48,56,1.0,1.879665324791374e-05,0.04062039559251686
sio2 all 20 dish white_p06_r0006,8,16,52,60,0.953125,1.4597730677028044e-05,0.04299934160017808
sio2 all 20 dish white_p06_r0007,12,20,32,40,0.859375,7.382678052204887e-05,0.03203188983543721
sio2 all 20 dish white_p06_r0008,12,20,36,44,1.0,6.10743410016234e-06,0.030263690971690616
sio2 all 20 dish white_p06_r0009,12,20,40,48,1.0,8.768678391679628e-06,0.031733687694791575
sio2 all 20 dish white_p06_r0010,12,20,44,52,1.0,1.063810318364292e-05,0.03410358493988274
sio2 all 20 dish white_p06_r0011,12,20,48,56,1.0,1.4016054790301859e-05,0.03665020743247999
sio2 all 20 dish white_p06_r0012,12,20,52,60,1.0,1.5114710737333846e-05,0.03903549120998782
sio2 all 20 dish white_p06_r0013,12,20,56,64,1.0,1.0903302303110039e-05,0.04038107281289559
sio2 all 20 dish white_p06_r0014,12,20,60,68,1.0,9.081675599353402e-06,0.0404801561346623
sio2 all 20 dish white_p06_r0015,12,20,64,72,0.921875,8.897144743535721e-06,0.04009672955605056
sio2 all 20 dish white_p06_r0016,16,24,32,40,0.984375,3.335012520880485e-05,0.02925401735649641
sio2 all 20 dish white_p06_r0017,16,24,36,44,1.0,4.160941990651086e-06,0.028892569004117803
sio2 all 20 dish white_p06_r0018,16,24,40,48,1.0,6.851456836763415e-06,0.03051826381251954
sio2 all 20 dish white_p06_r0019,16,24,44,52,1.0,6.109700704564507e-06,0.03255414694342871
sio2 all 20 dish white_p06_r0020,16,24,48,56,1.0,5.287189935434967e-06,0.034355735280364424
sio2 all 20 dish white_p06_r0021,16,24,52,60,1.0,5.744870076125101e-06,0.03591309922042876
sio2 all 20 dish white_p06_r0022,16,24,56,64,1.0,6.681908850360025e-06,0.03692819256600405
sio2 all 20 dish white_p06_r0023,16,24,60,68,1.0,7.613837219983169e-06,0.03786082713718256
sio2 all 20 dish white_p06_r0024,16,24,64,72,1.0,1.6053772005650965e-05,0.03966736366783683
sio2 all 20 dish white_p06_r0025,16,24,68,76,1.0,1.527665937303409e-05,0.040087677807463536
sio2 all 20 dish white_p06_r0026,16,24,72,80,0.984375,6.652390388577735e-06,0.039429139088718056
sio2 all 20 dish white_p06_r0027,16,24,76,84,0.875,6.612502253421787e-06,0.03995689354214598
sio2 all 20 dish white_p06_r0028,20,28,28,36,0.859375,0.00011162471567866236,0.0303917328680894
sio2 all 20 dish white_p06_r0029,20,28,32,40,1.0,3.7763871166447507e-06,0.027362042190218632
sio2 all 20 dish white_p06_r0030,20,28,36,44,1.0,4.024049457734808e-06,0.028154647570714803
sio2 all 20 dish white_p06_r0031,20,28,40,48,1.0,6.6405833990023954e-06,0.029850088398307252
sio2 all 20 dish white_p06_r0032,20,28,44,52,1.0,5.771328397061737e-06,0.03186935813143826
sio2 all 20 dish white_p06_r0033,20,28,48,56,1.0,4.446325617572877e-06,0.03364991438322954
sio2 all 20 dish white_p06_r0034,20,28,52,60,1.0,2.648548912519384e-06,0.03485291388998606
sio2 all 20 dish white_p06_r0035,20,28,56,64,1.0,2.3816472024866947e-06,0.035178352245187006
sio2 all 20 dish white_p06_r0036,20,28,60,68,1.0,7.328733721338687e-06,0.03554445559343219
sio2 all 20 dish white_p06_r0037,20,28,64,72,1.0,2.645866630002136e-05,0.037762200349524155
sio2 all 20 dish white_p06_r0038,20,28,68,76,1.0,3.1037624934400663e-05,0.04028772681477555
sio2 all 20 dish white_p06_r0039,20,28,72,80,1.0,1.998041400370598e-05,0.040806189224255475
sio2 all 20 dish white_p06_r0040,20,28,76,84,1.0,8.63342840900143e-06,0.04003138000624768
sio2 all 20 dish white_p06_r0041,20,28,80,88,1.0,3.589708481584398e-06,0.03995570931411878
sio2 all 20 dish white_p06_r0042,20,28,84,92,0.953125,1.3817668438815314e-05,0.04230612635903995
sio2 all 20 dish white_p06_r0043,24,32,28,36,0.984375,5.179688421200783e-05,0.027726432393668014
sio2 all 20 dish white_p06_r0044,24,32,32,40,1.0,2.7603876848006893e-06,0.026648812153995803
sio2 all 20 dish white_p06_r0045,24,32,36,44,1.0,4.179166959480717e-06,0.02752012731086267
sio2 all 20 dish white_p06_r0046,24,32,40,48,1.0,6.635771721531656e-06,0.029244942916682178
sio2 all 20 dish white_p06_r0047,24,32,44,52,1.0,5.73568068999954e-06,0.031342209793558666
sio2 all 20 dish white_p06_r0048,24,32,48,56,1.0,4.154764820113065e-06,0.03307989403607859
sio2 all 20 dish white_p06_r0049,24,32,52,60,1.0,2.430103420222342e-06,0.03421060843549925
sio2 all 20 dish white_p06_r0050,24,32,56,64,1.0,2.150534460031815e-06,0.03443144452989741
sio2 all 20 dish white_p06_r0051,24,32,60,68,1.0,2.8070658343963717e-06,0.03384276156601462
sio2 all 20 dish white_p06_r0052,24,32,64,72,1.0,6.854015160810088e-06,0.033938420546433194
sio2 all 20 dish white_p06_r0053,24,32,68,76,1.0,2.9344062092544616e-05,0.03629029700859342
sio2 all 20 dish white_p06_r0054,24,32,72,80,1.0,3.370140934888252e-05,0.038338949445447724
sio2 all 20 dish white_p06_r0055,24,32,76,84,1.0,1.7094384637564986e-05,0.03818904685470533
sio2 all 20 dish white_p06_r0056,24,32,80,88,1.0,6.487426096929901e-06,0.03827285894374336
sio2 all 20 dish white_p06_r0057,24,32,84,92,1.0,2.3247538290646174e-05,0.0412932677817779
sio2 all 20 dish white_p06_r0058,28,36,24,32,0.859375,0.000122331388603635,0.029074191911155012
sio2 all 20 dish white_p06_r0059,28,36,28,36,1.0,3.1060899744558948e-06,0.02574678383251421
sio2 all 20 dish white_p06_r0060,28,36,32,40,1.0,2.7692793859839782e-06,0.02610939839210955
sio2 all 20 dish white_p06_r0061,28,36,36,44,1.0,3.908348990594726e-06,0.026981198844961238
sio2 all 20 dish white_p06_r0062,28,36,40,48,1.0,6.638870987306306e-06,0.02868509060280117
sio2 all 20 dish white_p06_r0063,28,36,44,52,1.0,5.8657630631542466e-06,0.03086733247937809
sio2 all 20 dish white_p06_r0064,28,36,48,56,1.0,3.966561491315418e-06,0.03264981821951281
sio2 all 20 dish white_p06_r0065,28,36,52,60,1.0,2.6967886383321303e-06,0.03386278717898472
sio2 all 20 dish white_p06_r0066,28,36,56,64,1.0,3.786861656136481e-06,0.034682292436847034
sio2 all 20 dish white_p06_r0067,28,36,60,68,1.0,5.307762853080321e-06,0.03432353089405995
sio2 all 20 dish white_p06_r0068,28,36,64,72,1.0,3.233299205544566e-06,0.03325400671939115
sio2 all 20 dish white_p06_r0069,28,36,68,76,1.0,2.2596262338925628e-06,0.03318721824233949
sio2 all 20 dish white_p06_r0070,28,36,72,80,1.0,2.382785047196511e-06,0.03369548174751112
sio2 all 20 dish white_p06_r0071,28,36,76,84,1.0,3.4745125288572703e-06,0.034748844635231514
sio2 all 20 dish white_p06_r0072,28,36,80,88,1.0,3.9605703855465915e-06,0.036290149017105776
sio2 all 20 dish white_p06_r0073,28,36,84,92,1.0,4.693754650213252e-05,0.04041517235052352
sio2 all 20 dish white_p06_r0074,32,40,24,32,0.9375,5.539447473943456e-05,0.026633067335543274
sio2 all 20 dish white_p06_r0075,32,40,28,36,1.0,2.3712031449064805e-06,0.02492648970698397
sio2 all 20 dish white_p06_r0076,32,40,32,40,1.0,2.8652710494740227e-06,0.025395681179716075
sio2 all 20 dish white_p06_r0077,32,40,36,44,1.0,3.908282662312925e-06,0.026373373507913567
sio2 all 20 dish white_p06_r0078,32,40,40,48,1.0,6.8782766510634554e-06,0.02820246996109926
sio2 all 20 dish white_p06_r0079,32,40,44,52,1.0,6.0107973480617904e-06,0.03046438970597284
sio2 all 20 dish white_p06_r0080,32,40,48,56,1.0,4.239408631507167e-06,0.03233404736496015
sio2 all 20 dish white_p06_r0081,32,40,52,60,1.0,5.029068212274296e-06,0.034054793687772505
sio2 all 20 dish white_p06_r0082,32,40,56,64,1.0,4.243548829254716e-06,0.03551195725450271
sio2 all 20 dish white_p06_r0083,32,40,60,68,1.0,7.881566781212505e-06,0.03462828384412146
sio2 all 20 dish white_p06_r0084,32,40,64,72,1.0,4.196465193000618e-06,0.03282033101877206
sio2 all 20 dish white_p06_r0085,32,40,68,76,1.0,2.6195007900645483e-06,0.03278550231944684
sio2 all 20 dish white_p06_r0086,32,40,72,80,1.0,2.1428540955651576e-06,0.03333358925232067
sio2 all 20 dish white_p06_r0087,32,40,76,84,1.0,2.1835840884225153e-06,0.034030850643615426
sio2 all 20 dish white_p06_r0088,32,40,80,88,1.0,2.950796237066642e-06,0.03527438460186636
sio2 all 20 dish white_p06_r0089,32,40,84,92,0.984375,0.00011103006584089635,0.04124345038068292
