roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p02_r0001,4,12,84,92,0.96875,1.955992711663166e-05,0.03318245899562225
bare silicon all_p02_r0002,4,12,88,96,1.0,1.0296861732559861e-05,0.03247054182845215
bare silicon all_p02_r0003,4,12,92,100,0.921875,4.742758680758317e-05,0.03414153983563079
bare silicon all_p02_r0004,8,16,76,84,0.96875,1.555112052313535e-05,0.03147719640721317
bare silicon all_p02_r0005,8,16,80,88,1.0,7.15694658072104e-06,0.030979905787503627
bare silicon all_p02_r0006,8,16,84,92,1.0,5.923854365433092e-06,0.030466589774183674
bare silicon all_p02_r0007,8,16,88,96,1.0,4.784215476616828e-06,0.03009943788235965
bare silicon all_p02_r0008,8,16,92,100,1.0,7.180869864689769e-06,0.030941358691969033
bare silicon all_p02_r0009,8,16,96,104,0.90625,0.0002556288151031922,0.03726919876276326
bare silicon all_p02_r0010,12,20,64,72,0.859375,2.9747533271981645e-05,0.03103838295816429
bare silicon all_p02_r0011,12,20,68,76,0.984375,1.609637644552866e-05,0.029835088528678666
bare silicon all_p02_r0012,12,20,72,80,1.0,6.333760619822956e-06,0.028953720198705988
bare silicon all_p02_r0013,12,20,76,84,1.0,5.51337062123198e-06,0.028953197883728046
bare silicon all_p02_r0014,12,20,80,88,1.0,5.280494013684476e-06,0.029210307276917234
bare silicon all_p02_r0015,12,20,84,92,1.0,4.816238709694001e-06,0.028866942638773447
bare silicon all_p02_r0016,12,20,88,96,1.0,3.892206496631569e-06,0.0286932472153614
bare silicon all_p02_r0017,12,20,92,100,1.0,4.207611492183762e-06,0.029318156211518023
bare silicon all_p02_r0018,12,20,96,104,1.0,8.088635035302065e-05,0.032045154445945606
bare silicon all_p02_r0019,16,24,56,64,0.859375,3.536330507742992e-05,0.030431227967609505
bare silicon all_p02_r0020,16,24,60,68,0.984375,1.6513910108030164e-05,0.02899917979254698
bare silicon all_p02_r0021,16,24,64,72,1.0,5.537029072457677e-06,0.027887175158408734
bare silicon all_p02_r0022,16,24,68,76,1.0,4.413712598731954e-06,0.027283263363708798
bare silicon all_p02_r0023,16,24,72,80,1.0,3.7984580963587415e-06,0.02712358849221492
bare silicon all_p02_r0024,16,24,76,84,1.0,5.657536283519327e-06,0.027995180085135917
bare silicon all_p02_r0025,16,24,80,88,1.0,5.506602880925328e-06,0.028128547818065477
bare silicon all_p02_r0026,16,24,84,92,1.0,3.3036567531422303e-06,0.027395764328558562
bare silicon all_p02_r0027,16,24,88,96,1.0,3.0655674421459694e-06,0.027501080215670933
bare silicon all_p02_r0028,16,24,92,100,1.0,3.323986113085142e-06,0.027796232223860566
bare silicon all_p02_r0029,16,24,96,104,1.0,5.109975713820411e-06,0.028487400367587963
bare silicon all_p02_r0030,16,24,100,108,0.9375,0.0002359157290412081,0.034353625871146445
bare silicon all_p02_r0031,20,28,48,56,0.859375,3.271062115298283e-05,0.029788539694043246
bare silicon all_p02_r0032,20,28,52,60,0.984375,1.590924241084851e-05,0.02840436261826812
bare silicon all_p02_r0033,20,28,56,64,1.0,4.674677560514075e-06,0.02720844128916123
bare silicon all_p02_r0034,20,28,60,68,1.0,3.5058134953137286e-06,0.026643450821724292
bare silicon all_p02_r0035,20,28,64,72,1.0,3.1595560997581676e-06,0.02628350233187808
bare silicon all_p02_r0036,20,28,68,76,1.0,2.838709669892988e-06,0.02603964950666103
bare silicon all_p02_r0037,20,28,72,80,1.0,3.0177702312140578e-06,0.02630167731542236
bare silicon all_p02_r0038,20,28,76,84,1.0,5.461986590012442e-06,0.027041970817216036
bare silicon all_p02_r0039,20,28,80,88,1.0,6.071181434486275e-06,0.026697618666783718
bare silicon all_p02_r0040,20,28,84,92,1.0,3.1873436184805764e-06,0.02623178481876924
bare silicon all_p02_r0041,20,28,88,96,1.0,2.772436472803453e-06,0.02652202800299652
bare silicon all_p02_r0042,20,28,92,100,1.0,2.729549407930358e-06,0.026581279580490932
bare silicon all_p02_r0043,20,28,96,104,1.0,3.035657281203895e-06,0.02697901920699895
bare silicon all_p02_r0044,20,28,100,108,1.0,4.363440755550912e-05,0.029196380048148392
bare silicon all_p02_r0045,24,32,40,48,0.859375,3.2941031286853095e-05,0.029681605207471727
bare silicon all_p02_r0046,24,32,44,52,0.984375,1.564216655086786e-05,0.02801792519923341
bare silicon all_p02_r0047,24,32,48,56,1.0,3.707202829954939e-06,0.026748473484671714
bare silicon all_p02_r0048,24,32,52,60,1.0,2.8892030780958724e-06,0.026197755513969447
bare silicon all_p02_r0049,24,32,56,64,1.0,2.8380605819472404e-06,0.025764141954617112
bare silicon all_p02_r0050,24,32,60,68,1.0,2.4434874919333422e-06,0.02540300543507851
bare silicon all_p02_r0051,24,32,64,72,1.0,2.3755779018393296e-06,0.0252177977681189
bare silicon all_p02_r0052,24,32,68,76,1.0,2.5667161327450243e-06,0.02519059595751971
bare silicon all_p02_r0053,24,32,72,80,1.0,2.9553571983150527e-06,0.02556684646638804
bare silicon all_p02_r0054,24,32,76,84,1.0,3.1749247109023886e-06,0.025594744085190975
bare silicon all_p02_r0055,24,32,80,88,1.0,2.4832948855393423e-06,0.025073325274267914
bare silicon all_p02_r0056,24,32,84,92,1.0,2.2681376591574197e-06,0.02525116958601121
bare silicon all_p02_r0057,24,32,88,96,1.0,2.612918349644628e-06,0.025780937410373628
bare silicon all_p02_r0058,24,32,92,100,1.0,2.599582322159646e-06,0.02578498816178996
bare silicon all_p02_r0059,24,32,96,104,1.0,2.570341235751736e-06,0.02607012750470922
bare silicon all_p02_r0060,24,32,100,108,1.0,3.040095269863967e-06,0.027139681619606098
bare silicon all_p02_r0061,24,32,104,112,0.9375,0.00013363395644163398,0.03193460485329086
bare silicon all_p02_r0062,28,36,32,40,0.859375,3.7897174169876736e-05,0.029957180284750595
bare silicon all_p02_r0063,28,36,36,44,0.984375,1.648215389528483e-05,0.02816084316448905
bare silicon all_p02_r0064,28,36,40,48,1.0,4.074372530724991e-06,0.026800774477888794
bare silicon all_p02_r0065,28,36,44,52,1.0,3.0123399646478185e-06,0.026071983344348883
bare silicon all_p02_r0066,28,36,48,56,1.0,2.312457753913625e-06,0.025549528784595092
