roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p05_r0001,4,12,4,12,1.0,3.5754493302162726e-05,0.033147247217440015
bare silicon all_p05_r0002,4,12,8,16,1.0,1.00472551586769e-05,0.03133101364323531
bare silicon all_p05_r0003,4,12,12,20,1.0,2.4190628892669322e-05,0.031653958882867726
bare silicon all_p05_r0004,4,12,16,24,0.96875,8.682326021527605e-05,0.033376159091608314
bare silicon all_p05_r0005,4,12,20,28,0.859375,0.0001361460383042166,0.03465563579449978
bare silicon all_p05_r0006,8,16,4,12,0.984375,0.00015846740281749065,0.03383172520184481
bare silicon all_p05_r0007,8,16,8,16,1.0,3.510159483894981e-06,0.029364387210990373
bare silicon all_p05_r0008,8,16,12,20,1.0,3.7187554849011844e-06,0.02871559851471794
bare silicon all_p05_r0009,8,16,16,24,1.0,4.2642923347085764e-06,0.02837374452213743
bare silicon all_p05_r0010,8,16,20,28,1.0,5.347968673290949e-06,0.028385749299758053
bare silicon all_p05_r0011,8,16,24,32,1.0,1.8311755864026058e-05,0.029201364857713265
bare silicon all_p05_r0012,8,16,28,36,0.96875,5.1241877949957905e-05,0.030679194168056662
bare silicon all_p05_r0013,8,16,32,40,0.890625,7.487195441291645e-05,0.0318035092103682
bare silicon all_p05_r0014,12,20,4,12,0.921875,0.00032475786599901746,0.0359224741855498
bare silicon all_p05_r0015,12,20,8,16,1.0,2.8931134803666e-06,0.02852825515248417
bare silicon all_p05_r0016,12,20,12,20,1.0,2.321929501735808e-06,0.02762876039134219
bare silicon all_p05_r0017,12,20,16,24,1.0,2.258555683633149e-06,0.02717009455970647
bare silicon all_p05_r0018,12,20,20,28,1.0,2.195316388646521e-06,0.027002928301595452
bare silicon all_p05_r0019,12,20,24,32,1.0,2.482830454463123e-06,0.027072878661644637
bare silicon all_p05_r0020,12,20,28,36,1.0,2.957277779147672e-06,0.027317817179873482
bare silicon all_p05_r0021,12,20,32,40,1.0,3.1389330703778568e-06,0.027584988287556112
bare silicon all_p05_r0022,12,20,36,44,1.0,5.123268255200824e-06,0.027993487752972338
bare silicon all_p05_r0023,12,20,40,48,0.96875,9.934613760910458e-06,0.028742264861220657
bare silicon all_p05_r0024,12,20,44,52,0.875,1.877906922681571e-05,0.0297827400799271
bare silicon all_p05_r0025,16,24,8,16,1.0,4.6621119611448014e-06,0.02817565258013495
bare silicon all_p05_r0026,16,24,12,20,1.0,2.249674413565928e-06,0.027072518669540944
bare silicon all_p05_r0027,16,24,16,24,1.0,2.1070455209144338e-06,0.026539639074655827
bare silicon all_p05_r0028,16,24,20,28,1.0,2.230576947868822e-06,0.026176683271379463
bare silicon all_p05_r0029,16,24,24,32,1.0,2.3838199966158248e-06,0.026110696927799142
bare silicon all_p05_r0030,16,24,28,36,1.0,2.4866972481031458e-06,0.02621832947936801
bare silicon all_p05_r0031,16,24,32,40,1.0,2.6806071456857166e-06,0.026348832012861416
bare silicon all_p05_r0032,16,24,36,44,1.0,2.797999212511928e-06,0.02653635951067166
bare silicon all_p05_r0033,16,24,40,48,1.0,3.1665545608442655e-06,0.026879040558510515
bare silicon all_p05_r0034,16,24,44,52,1.0,4.191077487334356e-06,0.027356692936568016
bare silicon all_p05_r0035,16,24,48,56,1.0,8.511584940068998e-06,0.02814334060905784
bare silicon all_p05_r0036,16,24,52,60,0.9375,3.17789332251527e-05,0.02979257541648382
bare silicon all_p05_r0037,20,28,8,16,1.0,2.678819159042202e-05,0.02845048626695714
bare silicon all_p05_r0038,20,28,12,20,1.0,2.1892943835905984e-06,0.02654261427728568
bare silicon all_p05_r0039,20,28,16,24,1.0,2.022890601755948e-06,0.025938377995231156
bare silicon all_p05_r0040,20,28,20,28,1.0,1.9117379879673685e-06,0.025478544094478483
bare silicon all_p05_r0041,20,28,24,32,1.0,2.0956569271378633e-06,0.025296146282538238
bare silicon all_p05_r0042,20,28,28,36,1.0,2.1822799763575945e-06,0.025300839441212274
bare silicon all_p05_r0043,20,28,32,40,1.0,2.043050180346992e-06,0.025360980323549297
bare silicon all_p05_r0044,20,28,36,44,1.0,2.200982424772208e-06,0.025486035520736937
bare silicon all_p05_r0045,20,28,40,48,1.0,2.3477664001993245e-06,0.02571849415081211
bare silicon all_p05_r0046,20,28,44,52,1.0,2.4974705984981423e-06,0.026010101966151906
bare silicon all_p05_r0047,20,28,48,56,1.0,3.0596877111890282e-06,0.026400831957289938
bare silicon all_p05_r0048,20,28,52,60,1.0,4.407291432306558e-06,0.02694614238640817
bare silicon all_p05_r0049,20,28,56,64,1.0,2.034229908999388e-05,0.028168357960660913
bare silicon all_p05_r0050,20,28,60,68,0.9375,7.009650957528454e-05,0.030239331093050503
bare silicon all_p05_r0051,24,32,8,16,1.0,0.00017813394651696463,0.030781974409477015
bare silicon all_p05_r0052,24,32,12,20,1.0,2.0996983477775902e-06,0.026021407024247437
bare silicon all_p05_r0053,24,32,16,24,1.0,1.8976680027249467e-06,0.025294381693676732
bare silicon all_p05_r0054,24,32,20,28,1.0,2.0471768525678347e-06,0.0248706372342388
bare silicon all_p05_r0055,24,32,24,32,1.0,1.8928850913020409e-06,0.024608017411414166
bare silicon all_p05_r0056,24,32,28,36,1.0,1.766054070256852e-06,0.024575484472200017
bare silicon all_p05_r0057,24,32,32,40,1.0,1.7679901722968793e-06,0.024621794452125
bare silicon all_p05_r0058,24,32,36,44,1.0,2.007770388566595e-06,0.0246666711303659
bare silicon all_p05_r0059,24,32,40,48,1.0,2.27329337623618e-06,0.024818922131422793
