method,silhouette,davies_bouldin,calinski_harabasz,n_clusters,adjusted_rand_index
kmeans,0.49257275471658996,0.7134101246715032,33226.258949128256,4.0,
dbscan,0.04448380828996384,0.7812055504268655,71.48099780850674,3.0,
gmm,0.3684359669950198,1.653727551820236,13725.079414137874,4.0,
kmeans|dbscan,,,,,0.0007133817128179975
kmeans|gmm,,,,,0.4981241285824348
dbscan|gmm,,,,,0.007219569122491103
