roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p04_r0001,4,12,28,36,0.953125,5.3058588939333485e-05,0.03545461447185404
bare silicon all_p04_r0002,4,12,32,40,1.0,5.105660084762981e-05,0.03303966230815098
bare silicon all_p04_r0003,4,12,36,44,0.9375,8.028794263975854e-05,0.03262183192090644
bare silicon all_p04_r0004,8,16,24,32,0.984375,4.9093860288239686e-05,0.03838007793919142
bare silicon all_p04_r0005,8,16,28,36,1.0,1.7432689333641863e-05,0.033461421575515
bare silicon all_p04_r0006,8,16,32,40,1.0,1.1754077568240391e-05,0.029871165597194698
bare silicon all_p04_r0007,8,16,36,44,1.0,6.513272090366689e-06,0.02802488506282407
bare silicon all_p04_r0008,8,16,40,48,1.0,8.639151316551735e-06,0.027586415391916218
bare silicon all_p04_r0009,8,16,44,52,1.0,3.385311114984557e-05,0.028403114566607997
bare silicon all_p04_r0010,8,16,48,56,0.90625,5.100364863462762e-05,0.029635031806942536
bare silicon all_p04_r0011,12,20,16,24,0.875,7.59218939702205e-05,0.04337250836408777
bare silicon all_p04_r0012,12,20,20,28,1.0,2.4688509117440715e-05,0.03963446129225654
bare silicon all_p04_r0013,12,20,24,32,1.0,1.0632606447031672e-05,0.036175204768210435
bare silicon all_p04_r0014,12,20,28,36,1.0,1.2379376487532728e-05,0.032694868888604026
bare silicon all_p04_r0015,12,20,32,40,1.0,1.0176336555434721e-05,0.029283391677592797
bare silicon all_p04_r0016,12,20,36,44,1.0,5.6610849153125055e-06,0.026948499221001187
bare silicon all_p04_r0017,12,20,40,48,1.0,3.90234308260545e-06,0.025739819562758826
bare silicon all_p04_r0018,12,20,44,52,1.0,3.416078479333402e-06,0.02535812290535869
bare silicon all_p04_r0019,12,20,48,56,1.0,4.744634946181265e-06,0.025768637137197636
bare silicon all_p04_r0020,12,20,52,60,1.0,9.482365911118562e-06,0.026698502655556684
bare silicon all_p04_r0021,12,20,56,64,0.9375,2.8149272506006544e-05,0.0281739925409572
bare silicon all_p04_r0022,16,24,12,20,0.921875,5.444399315310324e-05,0.04329164527725106
bare silicon all_p04_r0023,16,24,16,24,1.0,7.389714456843631e-06,0.04013279186880104
bare silicon all_p04_r0024,16,24,20,28,1.0,6.619918290318863e-06,0.03780485539742159
bare silicon all_p04_r0025,16,24,24,32,1.0,8.643857553055056e-06,0.03514104882656085
bare silicon all_p04_r0026,16,24,28,36,1.0,1.0480775019692145e-05,0.031977265811053625
bare silicon all_p04_r0027,16,24,32,40,1.0,8.55665600422074e-06,0.02882662024309201
bare silicon all_p04_r0028,16,24,36,44,1.0,5.319553710988052e-06,0.026363909051762082
bare silicon all_p04_r0029,16,24,40,48,1.0,3.3441687315455234e-06,0.02481739836345387
bare silicon all_p04_r0030,16,24,44,52,1.0,2.5809615006435405e-06,0.024201729534252658
bare silicon all_p04_r0031,16,24,48,56,1.0,2.729205488741627e-06,0.024351665784628142
bare silicon all_p04_r0032,16,24,52,60,1.0,2.876485872321616e-06,0.024841717268479092
bare silicon all_p04_r0033,16,24,56,64,1.0,3.2729688793849897e-06,0.025356664357329216
bare silicon all_p04_r0034,16,24,60,68,1.0,7.59765100612376e-06,0.026285170425393314
bare silicon all_p04_r0035,16,24,64,72,0.953125,6.452963508085208e-05,0.028861787725355862
bare silicon all_p04_r0036,20,28,8,16,0.96875,6.056526013542581e-05,0.04394654039934334
bare silicon all_p04_r0037,20,28,12,20,1.0,4.203890412720725e-06,0.04087892901123593
