roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p09_r0001,4,12,52,60,0.953125,3.9616593586651086e-05,0.03485096210392113
sio2 all 20 dish white_p09_r0002,4,12,56,64,0.96875,3.856311718541652e-05,0.03550704647282818
sio2 all 20 dish white_p09_r0003,8,16,48,56,0.90625,3.705494221554596e-05,0.03429824125986741
sio2 all 20 dish white_p09_r0004,8,16,52,60,1.0,3.818332000701757e-06,0.03267646741400693
sio2 all 20 dish white_p09_r0005,8,16,56,64,1.0,7.441643721149436e-06,0.03306235330146896
sio2 all 20 dish white_p09_r0006,12,20,44,52,0.859375,5.611005834858167e-05,0.03430019589839368
sio2 all 20 dish white_p09_r0007,12,20,48,56,1.0,5.76617561222699e-06,0.03211267109170563
sio2 all 20 dish white_p09_r0008,12,20,52,60,1.0,2.975235734873471e-06,0.0314138627970105
sio2 all 20 dish white_p09_r0009,12,20,56,64,1.0,3.52158717249782e-06,0.03138310028903332
sio2 all 20 dish white_p09_r0010,12,20,60,68,0.921875,7.518661314548059e-05,0.035092706929001634
sio2 all 20 dish white_p09_r0011,16,24,44,52,1.0,1.786195487928703e-05,0.032020870047618576
sio2 all 20 dish white_p09_r0012,16,24,48,56,1.0,2.993176898532673e-06,0.03083285888325179
sio2 all 20 dish white_p09_r0013,16,24,52,60,1.0,2.602114801131836e-06,0.0302349057295399
sio2 all 20 dish white_p09_r0014,16,24,56,64,1.0,2.643598507680695e-06,0.030123949370715723
sio2 all 20 dish white_p09_r0015,16,24,60,68,1.0,4.0877480555229604e-05,0.0327277758132144
sio2 all 20 dish white_p09_r0016,20,28,40,48,0.984375,2.085654541845701e-05,0.0319039779361446
sio2 all 20 dish white_p09_r0017,20,28,44,52,1.0,3.7994076986646923e-06,0.030322893857264083
sio2 all 20 dish white_p09_r0018,20,28,48,56,1.0,3.1024449566421706e-06,0.0296142512930602
sio2 all 20 dish white_p09_r0019,20,28,52,60,1.0,2.4824870895617607e-06,0.02919943009272635
sio2 all 20 dish white_p09_r0020,20,28,56,64,1.0,2.5113984068623284e-06,0.029169789978018782
sio2 all 20 dish white_p09_r0021,20,28,60,68,1.0,7.46260291787076e-06,0.030415035712462006
sio2 all 20 dish white_p09_r0022,24,32,36,44,0.953125,1.8690917278536997e-05,0.03169877032119086
sio2 all 20 dish white_p09_r0023,24,32,40,48,1.0,4.58785429296294e-06,0.02985928907864532
sio2 all 20 dish white_p09_r0024,24,32,44,52,1.0,3.5618886202061826e-06,0.02878090548259157
sio2 all 20 dish white_p09_r0025,24,32,48,56,1.0,2.519505915297504e-06,0.02835958213982043
sio2 all 20 dish white_p09_r0026,24,32,52,60,1.0,2.506311945715252e-06,0.028301390612256238
sio2 all 20 dish white_p09_r0027,24,32,56,64,1.0,2.3256898556865776e-06,0.028343884104083072
sio2 all 20 dish white_p09_r0028,24,32,60,68,1.0,3.6127907709309965e-06,0.029081211979339598
sio2 all 20 dish white_p09_r0029,24,32,64,72,0.875,7.640856140873128e-05,0.03364536637170495
sio2 all 20 dish white_p09_r0030,28,36,32,40,0.921875,3.7288090237403846e-05,0.03229499042914595
sio2 all 20 dish white_p09_r0031,28,36,36,44,1.0,4.76072350316647e-06,0.029713961362230635
sio2 all 20 dish white_p09_r0032,28,36,40,48,1.0,3.857939988654853e-06,0.02822005764836139
sio2 all 20 dish white_p09_r0033,28,36,44,52,1.0,2.9359083035755397e-06,0.02740648274529132
sio2 all 20 dish white_p09_r0034,28,36,48,56,1.0,2.7736809255594445e-06,0.02727889975953491
sio2 all 20 dish white_p09_r0035,28,36,52,60,1.0,2.643789715997693e-06,0.027350043188369415
sio2 all 20 dish white_p09_r0036,28,36,56,64,1.0,2.4030469235552684e-06,0.02742878964713127
sio2 all 20 dish white_p09_r0037,28,36,60,68,1.0,2.9832159336334843e-06,0.028033376328520147
sio2 all 20 dish white_p09_r0038,28,36,64,72,0.96875,5.465571312887348e-05,0.031796846754804785
sio2 all 20 dish white_p09_r0039,32,40,28,36,0.890625,7.465682235609689e-05,0.03346987985861272
sio2 all 20 dish white_p09_r0040,32,40,32,40,1.0,1.179087784883783e-05,0.03119157930555377
sio2 all 20 dish white_p09_r0041,32,40,36,44,1.0,1.3056904212733571e-05,0.029245393959267858
sio2 all 20 dish white_p09_r0042,32,40,40,48,1.0,4.120805457254361e-06,0.026879006886571688
sio2 all 20 dish white_p09_r0043,32,40,44,52,1.0,3.2160386515502473e-06,0.026266068811672472
sio2 all 20 dish white_p09_r0044,32,40,48,56,1.0,3.526800730408513e-06,0.026463806249160608
sio2 all 20 dish white_p09_r0045,32,40,52,60,1.0,3.4877966618315292e-06,0.026540820704094515
sio2 all 20 dish white_p09_r0046,32,40,56,64,1.0,3.051930863900102e-06,0.026367997423776476
sio2 all 20 dish white_p09_r0047,32,40,60,68,1.0,3.500593066246261e-06,0.026935769512764864
sio2 all 20 dish white_p09_r0048,32,40,64,72,0.953125,2.569903888390343e-05,0.02959174772774447
sio2 all 20 dish white_p09_r0049,36,44,28,36,1.0,1.7923901643955333e-05,0.030445713858940848
sio2 all 20 dish white_p09_r0050,36,44,32,40,1.0,1.3597051694801794e-05,0.02954158439644419
sio2 all 20 dish white_p09_r0051,36,44,36,44,1.0,1.6005120308639665e-05,0.027831533534216468
sio2 all 20 dish white_p09_r0052,36,44,40,48,1.0,4.274809740200964e-06,0.0255642703447486
sio2 all 20 dish white_p09_r0053,36,44,44,52,1.0,3.5689450284380915e-06,0.02502503834200958
sio2 all 20 dish white_p09_r0054,36,44,48,56,1.0,4.54604564852691e-06,0.025162418968703183
sio2 all 20 dish white_p09_r0055,36,44,52,60,1.0,4.5273723959691336e-06,0.025252375160975782
sio2 all 20 dish white_p09_r0056,36,44,56,64,1.0,3.8401234225592776e-06,0.02515469209342798
sio2 all 20 dish white_p09_r0057,36,44,60,68,1.0,4.076457697357593e-06,0.025791255082658827
