roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p08_r0001,4,12,48,56,0.859375,7.651236532645775e-05,0.02988109872055986
bare silicon all_p08_r0002,4,12,52,60,0.953125,4.6063709866376946e-05,0.028723369054192465
bare silicon all_p08_r0003,4,12,56,64,1.0,2.751381375269716e-05,0.027849956119787033
bare silicon all_p08_r0004,4,12,60,68,1.0,1.4777670946516105e-05,0.02715827128060932
bare silicon all_p08_r0005,4,12,64,72,1.0,1.1420416844874586e-05,0.02686677929422658
bare silicon all_p08_r0006,4,12,68,76,1.0,1.0137605485393472e-05,0.026991063328285728
bare silicon all_p08_r0007,4,12,72,80,1.0,9.749415631054887e-06,0.027280747131010454
bare silicon all_p08_r0008,4,12,76,84,1.0,1.277561845293875e-05,0.027493172936893552
bare silicon all_p08_r0009,4,12,80,88,1.0,2.59870043415105e-05,0.028049128164619908
bare silicon all_p08_r0010,4,12,84,92,1.0,9.235733463490394e-05,0.029753714689567112
bare silicon all_p08_r0011,4,12,88,96,0.96875,0.00028548559799820817,0.03250909891258086
bare silicon all_p08_r0012,4,12,92,100,0.90625,0.0007230482804038421,0.03574733073609139
bare silicon all_p08_r0013,8,16,32,40,0.875,0.002342394993684301,0.03724178311861568
bare silicon all_p08_r0014,8,16,36,44,0.96875,0.0001262033383682117,0.028912802418521653
bare silicon all_p08_r0015,8,16,40,48,1.0,2.8862405778149433e-05,0.026406663510985206
bare silicon all_p08_r0016,8,16,44,52,1.0,1.1895586051965338e-05,0.025487104632426448
bare silicon all_p08_r0017,8,16,48,56,1.0,8.048077003811408e-06,0.024851063603791492
bare silicon all_p08_r0018,8,16,52,60,1.0,6.58657109066393e-06,0.02425520110304372
bare silicon all_p08_r0019,8,16,56,64,1.0,5.344537917863652e-06,0.024192197025341686
bare silicon all_p08_r0020,8,16,60,68,1.0,4.804431626250475e-06,0.024449434707386874
bare silicon all_p08_r0021,8,16,64,72,1.0,4.387104614514435e-06,0.024540299381405076
bare silicon all_p08_r0022,8,16,68,76,1.0,4.042709146707595e-06,0.02473298015437562
bare silicon all_p08_r0023,8,16,72,80,1.0,3.983567078536775e-06,0.02521615505397301
bare silicon all_p08_r0024,8,16,76,84,1.0,3.5608438027909155e-06,0.025345110053491774
bare silicon all_p08_r0025,8,16,80,88,1.0,3.252929570096598e-06,0.02536562236654554
bare silicon all_p08_r0026,8,16,84,92,1.0,4.086658655926482e-06,0.025863946601960647
bare silicon all_p08_r0027,8,16,88,96,1.0,7.728763357389589e-06,0.026861465001934162
bare silicon all_p08_r0028,8,16,92,100,1.0,1.818414417384766e-05,0.028506202855039242
bare silicon all_p08_r0029,8,16,96,104,0.9375,4.459477438896514e-05,0.03157902575261422
bare silicon all_p08_r0030,12,20,20,28,0.90625,7.604058099175255e-05,0.027235883643031686
bare silicon all_p08_r0031,12,20,24,32,1.0,5.133466818081945e-05,0.026028158665584583
bare silicon all_p08_r0032,12,20,28,36,1.0,1.621126817677511e-05,0.024750691345371636
bare silicon all_p08_r0033,12,20,32,40,1.0,1.243101053558557e-05,0.024085059418728984
bare silicon all_p08_r0034,12,20,36,44,1.0,4.296982101208428e-06,0.02328272129062048
bare silicon all_p08_r0035,12,20,40,48,1.0,2.801744252994637e-06,0.02306738426579738
bare silicon all_p08_r0036,12,20,44,52,1.0,2.7751393021362134e-06,0.023234968206011494
bare silicon all_p08_r0037,12,20,48,56,1.0,2.664749290533429e-06,0.023127308404704793
bare silicon all_p08_r0038,12,20,52,60,1.0,1.8930109208254202e-06,0.022868599115640802
bare silicon all_p08_r0039,12,20,56,64,1.0,1.7734901466215433e-06,0.023016916089305176
bare silicon all_p08_r0040,12,20,60,68,1.0,2.025917796555202e-06,0.023369886255365825
bare silicon all_p08_r0041,12,20,64,72,1.0,1.821803804464883e-06,0.023599638929741887
bare silicon all_p08_r0042,12,20,68,76,1.0,1.7188547473912852e-06,0.02386792126563997
bare silicon all_p08_r0043,12,20,72,80,1.0,2.4095136496061984e-06,0.024470861432094797
bare silicon all_p08_r0044,12,20,76,84,1.0,2.647068275369677e-06,0.02494282015170504
bare silicon all_p08_r0045,12,20,80,88,1.0,3.429223966977402e-06,0.025302066687028724
bare silicon all_p08_r0046,12,20,84,92,0.984375,1.1633410355265869e-05,0.026432297273140608
bare silicon all_p08_r0047,12,20,88,96,0.875,2.1463679557954767e-05,0.027960221544050527
bare silicon all_p08_r0048,16,24,12,20,0.96875,3.4891755479702324e-05,0.025501970545469748
bare silicon all_p08_r0049,16,24,16,24,1.0,1.0891806069484584e-05,0.023772740791309845
bare silicon all_p08_r0050,16,24,20,28,1.0,3.436961266730938e-06,0.023054856275777833
bare silicon all_p08_r0051,16,24,24,32,1.0,2.273308335882546e-06,0.022834892591273755
bare silicon all_p08_r0052,16,24,28,36,1.0,2.0447393566908584e-06,0.022922076573515325
bare silicon all_p08_r0053,16,24,32,40,1.0,2.1116314019347493e-06,0.022690879764627775
bare silicon all_p08_r0054,16,24,36,44,1.0,1.6818640216979373e-06,0.0224098242909824
bare silicon all_p08_r0055,16,24,40,48,1.0,1.6954739468051273e-06,0.022477391287105943
bare silicon all_p08_r0056,16,24,44,52,1.0,1.8382401064871763e-06,0.022571412074001544
bare silicon all_p08_r0057,16,24,48,56,1.0,1.796240817720559e-06,0.02265142229135582
bare silicon all_p08_r0058,16,24,52,60,1.0,1.6700544263333784e-06,0.022819018502448322
bare silicon all_p08_r0059,16,24,56,64,1.0,2.1245094423708656e-06,0.02299860482222946
bare silicon all_p08_r0060,16,24,60,68,1.0,2.2590598907602244e-06,0.023162168158018394
bare silicon all_p08_r0061,16,24,64,72,1.0,2.31066335560742e-06,0.02364051448732262
bare silicon all_p08_r0062,16,24,68,76,1.0,3.7659594685126387e-06,0.024487465588458494
bare silicon all_p08_r0063,16,24,72,80,1.0,1.2065848021560228e-05,0.026173464250662803
bare silicon all_p08_r0064,16,24,76,84,0.953125,2.7584513236691792e-05,0.027850938914781128
