roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p04_r0001,4,12,36,44,0.953125,1.12509359231253e-05,0.0344332630736267
sio2 all 20 dish white_p04_r0002,4,12,40,48,0.9375,2.2594841541701898e-05,0.03499715282668225
sio2 all 20 dish white_p04_r0003,4,12,44,52,0.890625,2.2101483153385173e-05,0.03363098494007111
sio2 all 20 dish white_p04_r0004,8,16,32,40,0.984375,7.105705804875421e-06,0.03232690422798815
sio2 all 20 dish white_p04_r0005,8,16,36,44,1.0,8.49508945402944e-06,0.03216847806853029
sio2 all 20 dish white_p04_r0006,8,16,40,48,1.0,1.173553368770704e-05,0.03160023570992737
sio2 all 20 dish white_p04_r0007,8,16,44,52,1.0,8.109845721879069e-06,0.030546556870157213
sio2 all 20 dish white_p04_r0008,8,16,48,56,1.0,6.533607942076374e-06,0.030385885247997953
sio2 all 20 dish white_p04_r0009,12,20,28,36,0.984375,9.227807198085849e-06,0.031074411460354695
sio2 all 20 dish white_p04_r0010,12,20,32,40,1.0,6.4652375812046036e-06,0.030655921122316746
sio2 all 20 dish white_p04_r0011,12,20,36,44,1.0,7.756084909050168e-06,0.03032843599230218
sio2 all 20 dish white_p04_r0012,12,20,40,48,1.0,5.875294873997541e-06,0.029180164869628933
sio2 all 20 dish white_p04_r0013,12,20,44,52,1.0,4.167181528729483e-06,0.028475271926378286
sio2 all 20 dish white_p04_r0014,12,20,48,56,1.0,4.575634753057258e-06,0.02842310449196617
sio2 all 20 dish white_p04_r0015,12,20,52,60,1.0,5.160699470845148e-06,0.02863450379601197
sio2 all 20 dish white_p04_r0016,12,20,56,64,0.96875,9.630825359662186e-06,0.02916549597257192
sio2 all 20 dish white_p04_r0017,16,24,24,32,0.890625,4.120971419001596e-05,0.030885186298684208
sio2 all 20 dish white_p04_r0018,16,24,28,36,1.0,3.9690597879607655e-06,0.02910091344723241
sio2 all 20 dish white_p04_r0019,16,24,32,40,1.0,5.199231748207698e-06,0.028632072530395892
sio2 all 20 dish white_p04_r0020,16,24,36,44,1.0,6.6543623642398675e-06,0.028236078242721636
sio2 all 20 dish white_p04_r0021,16,24,40,48,1.0,4.7346094862040505e-06,0.027455308549440803
sio2 all 20 dish white_p04_r0022,16,24,44,52,1.0,3.266965412180492e-06,0.026894525975674377
sio2 all 20 dish white_p04_r0023,16,24,48,56,1.0,3.6181729731241416e-06,0.026776617122790825
sio2 all 20 dish white_p04_r0024,16,24,52,60,1.0,3.836458117884376e-06,0.0268731114689016
sio2 all 20 dish white_p04_r0025,16,24,56,64,1.0,4.1206404085616794e-06,0.026958389991029855
sio2 all 20 dish white_p04_r0026,16,24,60,68,1.0,5.681181727230096e-06,0.02734737628160494
