roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p07_r0001,4,12,60,68,0.953125,6.900727581645328e-05,0.03388990218476655
bare silicon all_p07_r0002,4,12,64,72,0.984375,4.076368502000476e-05,0.033153626321357016
bare silicon all_p07_r0003,8,16,56,64,0.984375,5.608342314024457e-05,0.03184620590897896
bare silicon all_p07_r0004,8,16,60,68,1.0,4.358845835876851e-06,0.029863641666700514
bare silicon all_p07_r0005,8,16,64,72,1.0,4.626532494945227e-06,0.029956213582402816
bare silicon all_p07_r0006,8,16,68,76,0.984375,0.00011253860441537127,0.03309538157030017
bare silicon all_p07_r0007,12,20,48,56,0.859375,0.0001075764532388497,0.032893313723798515
bare silicon all_p07_r0008,12,20,52,60,1.0,3.957827380619924e-05,0.029912233697132404
bare silicon all_p07_r0009,12,20,56,64,1.0,4.079293515716848e-06,0.02824454386652449
bare silicon all_p07_r0010,12,20,60,68,1.0,3.8504799272987286e-06,0.028184916793639693
bare silicon all_p07_r0011,12,20,64,72,1.0,3.905980398076278e-06,0.028335656687747915
bare silicon all_p07_r0012,12,20,68,76,1.0,5.848742896203689e-06,0.02895447819465973
bare silicon all_p07_r0013,12,20,72,80,0.953125,0.00010678535565002836,0.03259100679153454
bare silicon all_p07_r0014,16,24,44,52,0.90625,5.147442138228926e-05,0.030530288929322007
bare silicon all_p07_r0015,16,24,48,56,1.0,7.252977975778791e-06,0.028100146399507572
bare silicon all_p07_r0016,16,24,52,60,1.0,3.180287866261002e-06,0.027130587739840468
bare silicon all_p07_r0017,16,24,56,64,1.0,3.0821571688972755e-06,0.026718598456266313
bare silicon all_p07_r0018,16,24,60,68,1.0,3.06100086916249e-06,0.02663792338835482
bare silicon all_p07_r0019,16,24,64,72,1.0,3.02062393526973e-06,0.026751211149683585
bare silicon all_p07_r0020,16,24,68,76,1.0,3.639718642322053e-06,0.02726927409366102
bare silicon all_p07_r0021,16,24,72,80,1.0,7.799127044918152e-06,0.028451032633070052
bare silicon all_p07_r0022,16,24,76,84,0.921875,0.0001346723778270067,0.033093541290158304
bare silicon all_p07_r0023,20,28,40,48,0.953125,4.029083286590362e-05,0.02931292255786281
bare silicon all_p07_r0024,20,28,44,52,1.0,4.545278878964512e-06,0.02715518002483553
bare silicon all_p07_r0025,20,28,48,56,1.0,3.407398678560157e-06,0.026402692240915567
bare silicon all_p07_r0026,20,28,52,60,1.0,2.9897181854268747e-06,0.025894222478242437
bare silicon all_p07_r0027,20,28,56,64,1.0,2.6890391092891155e-06,0.025584813901457313
bare silicon all_p07_r0028,20,28,60,68,1.0,2.4965773262396837e-06,0.02548081792814052
bare silicon all_p07_r0029,20,28,64,72,1.0,2.594901449668149e-06,0.025581447699938475
bare silicon all_p07_r0030,20,28,68,76,1.0,2.9260516872750697e-06,0.026023475013570406
bare silicon all_p07_r0031,20,28,72,80,1.0,3.4948793156823738e-06,0.026795999805567863
bare silicon all_p07_r0032,20,28,76,84,1.0,1.61181876666136e-05,0.028927491693360022
bare silicon all_p07_r0033,20,28,80,88,0.875,0.00015297849535661866,0.034658119834976166
bare silicon all_p07_r0034,24,32,36,44,0.984375,2.3973580852633162e-05,0.028057258199293653
bare silicon all_p07_r0035,24,32,40,48,1.0,3.811322883104974e-06,0.026434203837589987
bare silicon all_p07_r0036,24,32,44,52,1.0,3.3142104820287022e-06,0.025714547629097435
bare silicon all_p07_r0037,24,32,48,56,1.0,2.7747002930245894e-06,0.025208364759191994
bare silicon all_p07_r0038,24,32,52,60,1.0,2.769772155004542e-06,0.024857142267059137
bare silicon all_p07_r0039,24,32,56,64,1.0,2.7404136835234984e-06,0.02461932695877911
bare silicon all_p07_r0040,24,32,60,68,1.0,2.5824853536933185e-06,0.024539207898958366
bare silicon all_p07_r0041,24,32,64,72,1.0,2.4964182595438123e-06,0.02473037397252889
bare silicon all_p07_r0042,24,32,68,76,1.0,2.4214196308633113e-06,0.025091689912326867
bare silicon all_p07_r0043,24,32,72,80,1.0,2.894846431557365e-06,0.02564007371644444
bare silicon all_p07_r0044,24,32,76,84,1.0,4.721673870399148e-06,0.02696419321583914
bare silicon all_p07_r0045,24,32,80,88,1.0,4.235215579590255e-05,0.029877945361003702
bare silicon all_p07_r0046,28,36,28,36,0.890625,6.444177829504163e-05,0.02946582338062771
bare silicon all_p07_r0047,28,36,32,40,1.0,1.1708526894818688e-05,0.026923162355072718
bare silicon all_p07_r0048,28,36,36,44,1.0,3.417588218407918e-06,0.025662237850010663
bare silicon all_p07_r0049,28,36,40,48,1.0,3.0386152433610473e-06,0.025055452199594753
bare silicon all_p07_r0050,28,36,44,52,1.0,3.127698287865547e-06,0.024726576150643307
bare silicon all_p07_r0051,28,36,48,56,1.0,3.370260280368452e-06,0.024492576701287218
bare silicon all_p07_r0052,28,36,52,60,1.0,3.0769130459589462e-06,0.024053669575520596
bare silicon all_p07_r0053,28,36,56,64,1.0,2.4385486755674957e-06,0.023688589323025675
bare silicon all_p07_r0054,28,36,60,68,1.0,2.408803213810472e-06,0.023629970107074863
bare silicon all_p07_r0055,28,36,64,72,1.0,2.4103239047433886e-06,0.023825228293283606
bare silicon all_p07_r0056,28,36,68,76,1.0,2.2704398965972452e-06,0.024165151498060394
bare silicon all_p07_r0057,28,36,72,80,1.0,2.4240667007922466e-06,0.024611749567899667
bare silicon all_p07_r0058,28,36,76,84,1.0,3.306845698199201e-06,0.025459445649423363
bare silicon all_p07_r0059,28,36,80,88,1.0,4.87140939551995e-06,0.02689974760841404
bare silicon all_p07_r0060,28,36,84,92,0.984375,4.083586754039213e-05,0.030422482666584035
bare silicon all_p07_r0061,32,40,24,32,0.953125,7.777904887215403e-05,0.028801090997708872
bare silicon all_p07_r0062,32,40,28,36,1.0,4.5656148590082516e-06,0.025896912778575365
bare silicon all_p07_r0063,32,40,32,40,1.0,3.0861583711479212e-06,0.02503747358270848
bare silicon all_p07_r0064,32,40,36,44,1.0,2.525928599172141e-06,0.024456039714133185
bare silicon all_p07_r0065,32,40,40,48,1.0,2.3002535374026356e-06,0.024009850023366117
bare silicon all_p07_r0066,32,40,44,52,1.0,2.5940298177957202e-06,0.023741465565941304
bare silicon all_p07_r0067,32,40,48,56,1.0,3.143062146812322e-06,0.023542392571561342
bare silicon all_p07_r0068,32,40,52,60,1.0,2.6728942177639453e-06,0.023219596669581552
bare silicon all_p07_r0069,32,40,56,64,1.0,2.0513624125809418e-06,0.02299536878427196
bare silicon all_p07_r0070,32,40,60,68,1.0,2.0127883030503083e-06,0.022877667195309228
bare silicon all_p07_r0071,32,40,64,72,1.0,1.895666379425548e-06,0.022969254963108802
bare silicon all_p07_r0072,32,40,68,76,1.0,2.1534041736352876e-06,0.02332029593583658
bare silicon all_p07_r0073,32,40,72,80,1.0,2.4932235756279735e-06,0.023754876384368503
bare silicon all_p07_r0074,32,40,76,84,1.0,2.69621571630709e-06,0.02442779857179034
bare silicon all_p07_r0075,32,40,80,88,1.0,3.764245348683412e-06,0.025782739901984646
bare silicon all_p07_r0076,32,40,84,92,1.0,9.031005696912403e-06,0.028507638937484262
bare silicon all_p07_r0077,32,40,88,96,0.984375,0.00012567175685161932,0.033704126046881944
bare silicon all_p07_r0078,36,44,20,28,0.984375,5.016699662496282e-05,0.027621592345997117
bare silicon all_p07_r0079,36,44,24,32,1.0,3.5263677703020566e-06,0.02531878765506916
bare silicon all_p07_r0080,36,44,28,36,1.0,3.0338412073182186e-06,0.024504674011325823
bare silicon all_p07_r0081,36,44,32,40,1.0,2.586780634625707e-06,0.02393948860928798
bare silicon all_p07_r0082,36,44,36,44,1.0,2.327062790224973e-06,0.023549638563851567
bare silicon all_p07_r0083,36,44,40,48,1.0,2.5091359569368513e-06,0.02321883786471895
bare silicon all_p07_r0084,36,44,44,52,1.0,2.3926738368850913e-06,0.02285252209035447
bare silicon all_p07_r0085,36,44,48,56,1.0,1.9535967197888277e-06,0.022548887298514352
bare silicon all_p07_r0086,36,44,52,60,1.0,1.9380665080602712e-06,0.022540879350580613
bare silicon all_p07_r0087,36,44,56,64,1.0,2.1230826100280405e-06,0.022569890897907088
bare silicon all_p07_r0088,36,44,60,68,1.0,1.838974798131122e-06,0.022332332004246613
bare silicon all_p07_r0089,36,44,64,72,1.0,1.7552654591891009e-06,0.022381691556282987
bare silicon all_p07_r0090,36,44,68,76,1.0,2.013069440300306e-06,0.022724393540124743
bare silicon all_p07_r0091,36,44,72,80,1.0,2.3446215314114046e-06,0.02309830280110931
bare silicon all_p07_r0092,36,44,76,84,1.0,2.5429612731424795e-06,0.023708507340027402
bare silicon all_p07_r0093,36,44,80,88,1.0,3.059270097371539e-06,0.024812166617080165
bare silicon all_p07_r0094,36,44,84,92,1.0,6.607728575414066e-06,0.026693378167811335
bare silicon all_p07_r0095,36,44,88,96,1.0,1.2681100110499683e-05,0.029373356633151868
bare silicon all_p07_r0096,36,44,92,100,0.953125,0.00012651269805789758,0.03385636207541423
bare silicon all_p07_r0097,40,48,12,20,0.875,0.00010345220922043881,0.030024598181238173
bare silicon all_p07_r0098,40,48,16,24,1.0,2.6149991503357736e-05,0.026757592081551495
bare silicon all_p07_r0099,40,48,20,28,1.0,2.7767997134150804e-06,0.02504761698067428
bare silicon all_p07_r0100,40,48,24,32,1.0,2.574105531877913e-06,0.024229978596506333
bare silicon all_p07_r0101,40,48,28,36,1.0,2.3928846806215243e-06,0.023614794786091235
bare silicon all_p07_r0102,40,48,32,40,1.0,2.0348790717461032e-06,0.023166301927843927
bare silicon all_p07_r0103,40,48,36,44,1.0,2.0638311835539326e-06,0.023004006306556826
bare silicon all_p07_r0104,40,48,40,48,1.0,1.9614015582736237e-06,0.022854847199933782
bare silicon all_p07_r0105,40,48,44,52,1.0,2.010634288261405e-06,0.022388861855974346
bare silicon all_p07_r0106,40,48,48,56,1.0,1.84068845945283e-06,0.02201565215892118
bare silicon all_p07_r0107,40,48,52,60,1.0,1.7495112225231606e-06,0.02205912772905075
bare silicon all_p07_r0108,40,48,56,64,1.0,1.8323470752843157e-06,0.022098282661393943
bare silicon all_p07_r0109,40,48,60,68,1.0,1.755124651932263e-06,0.021866677067508656
bare silicon all_p07_r0110,40,48,64,72,1.0,1.6457780354799206e-06,0.02190027818253542
bare silicon all_p07_r0111,40,48,68,76,1.0,1.7044957095940637e-06,0.022272855800357882
bare silicon all_p07_r0112,40,48,72,80,1.0,1.751034472318845e-06,0.022693580168626836
bare silicon all_p07_r0113,40,48,76,84,1.0,1.9106079516330967e-06,0.023260772863671633
bare silicon all_p07_r0114,40,48,80,88,1.0,2.3701813929571176e-06,0.02410770946272488
bare silicon all_p07_r0115,40,48,84,92,1.0,3.062092932783872e-06,0.025310731745176316
bare silicon all_p07_r0116,40,48,88,96,1.0,4.447006486855285e-06,0.026941885449386936
bare silicon all_p07_r0117,40,48,92,100,1.0,8.802554928364384e-06,0.028926021517861993
bare silicon all_p07_r0118,40,48,96,104,0.90625,0.00010750639281791356,0.0336387314599484
bare silicon all_p07_r0119,44,52,8,16,0.921875,6.37584252155086e-05,0.029178311057310568
bare silicon all_p07_r0120,44,52,12,20,1.0,4.971088431372e-06,0.026222265080727024
bare silicon all_p07_r0121,44,52,16,24,1.0,2.195461837988044e-06,0.025150389632304624
bare silicon all_p07_r0122,44,52,20,28,1.0,2.129231638647722e-06,0.024403409858812043
bare silicon all_p07_r0123,44,52,24,32,1.0,2.0352629799614225e-06,0.023749985162376634
bare silicon all_p07_r0124,44,52,28,36,1.0,1.8256997712888303e-06,0.02337796568620905
bare silicon all_p07_r0125,44,52,32,40,1.0,1.7635623583120581e-06,0.023033041675797238
bare silicon all_p07_r0126,44,52,36,44,1.0,1.7274351490827345e-06,0.022809337332310657
bare silicon all_p07_r0127,44,52,40,48,1.0,1.6887660447808154e-06,0.022667938731655766
bare silicon all_p07_r0128,44,52,44,52,1.0,1.5995926273057805e-06,0.022231980859882264
bare silicon all_p07_r0129,44,52,48,56,1.0,1.5324769589944827e-06,0.021917199616820923
bare silicon all_p07_r0130,44,52,52,60,1.0,1.51702669514725e-06,0.021873107354730883
bare silicon all_p07_r0131,44,52,56,64,1.0,1.7030989708435414e-06,0.0218662493062411
bare silicon all_p07_r0132,44,52,60,68,1.0,1.8110851220872899e-06,0.021808467930376264
bare silicon all_p07_r0133,44,52,64,72,1.0,1.9094022164691778e-06,0.021966393261004812
bare silicon all_p07_r0134,44,52,68,76,1.0,2.467424494099594e-06,0.02246503680626093
bare silicon all_p07_r0135,44,52,72,80,1.0,3.044523454418895e-06,0.023069502324128906
bare silicon all_p07_r0136,44,52,76,84,1.0,4.088877313857659e-06,0.023830860574330603
bare silicon all_p07_r0137,44,52,80,88,1.0,6.793676824505841e-06,0.024924087974082798
bare silicon all_p07_r0138,44,52,84,92,1.0,2.4324418726241136e-05,0.026938075338972675
bare silicon all_p07_r0139,44,52,88,96,0.921875,3.244449417760061e-05,0.028785699304819536
bare silicon all_p07_r0140,48,56,8,16,0.9375,3.6416644270626024e-05,0.029117412641827028
bare silicon all_p07_r0141,48,56,12,20,1.0,3.5604331822118177e-05,0.02799711931114049
bare silicon all_p07_r0142,48,56,16,24,1.0,1.3393256798077478e-05,0.02630289248726706
bare silicon all_p07_r0143,48,56,20,28,1.0,8.876387218472247e-06,0.025361839830412698
