roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p05_r0001,4,12,80,88,0.859375,2.57826663209533e-05,0.027973523238803092
sio2 all 20 dish white_p05_r0002,4,12,84,92,0.953125,1.9846809048705122e-05,0.027232799325630507
sio2 all 20 dish white_p05_r0003,8,16,76,84,0.90625,3.6477236550396556e-05,0.029137428260166146
sio2 all 20 dish white_p05_r0004,8,16,80,88,1.0,7.121754760611854e-06,0.02609885599587786
sio2 all 20 dish white_p05_r0005,8,16,84,92,1.0,3.093197284115056e-06,0.025083193261735526
sio2 all 20 dish white_p05_r0006,12,20,72,80,0.953125,5.002357719722213e-05,0.030899818419550893
sio2 all 20 dish white_p05_r0007,12,20,76,84,1.0,9.033962048717735e-06,0.02704029132945756
sio2 all 20 dish white_p05_r0008,12,20,80,88,1.0,4.008084894962126e-06,0.024886045194246163
sio2 all 20 dish white_p05_r0009,12,20,84,92,1.0,2.1977279603369767e-06,0.024249092123576118
sio2 all 20 dish white_p05_r0010,12,20,88,96,0.96875,1.7590419948239854e-05,0.025466170748033704
sio2 all 20 dish white_p05_r0011,16,24,68,76,0.96875,3.1177598326632316e-05,0.03189836853525132
sio2 all 20 dish white_p05_r0012,16,24,72,80,1.0,8.438940570069924e-06,0.028660077471743813
sio2 all 20 dish white_p05_r0013,16,24,76,84,1.0,6.4830903490910826e-06,0.02635720782668809
sio2 all 20 dish white_p05_r0014,16,24,80,88,1.0,4.334458061928131e-06,0.024520626521670853
sio2 all 20 dish white_p05_r0015,16,24,84,92,1.0,2.2501400522413683e-06,0.023609484115200238
sio2 all 20 dish white_p05_r0016,16,24,88,96,1.0,3.703141803638128e-06,0.024266561738419404
sio2 all 20 dish white_p05_r0017,16,24,92,100,0.90625,3.1571463106871875e-05,0.026710013466509388
sio2 all 20 dish white_p05_r0018,20,28,64,72,0.984375,1.2234820258133352e-05,0.032462410628067526
sio2 all 20 dish white_p05_r0019,20,28,68,76,1.0,6.506443089316892e-06,0.03016825238628313
sio2 all 20 dish white_p05_r0020,20,28,72,80,1.0,7.39478768343803e-06,0.027788024092016972
sio2 all 20 dish white_p05_r0021,20,28,76,84,1.0,6.028084999868158e-06,0.0256697814745047
sio2 all 20 dish white_p05_r0022,20,28,80,88,1.0,4.662528409206178e-06,0.023892447191344774
sio2 all 20 dish white_p05_r0023,20,28,84,92,1.0,2.041654912899001e-06,0.02295867677133427
sio2 all 20 dish white_p05_r0024,20,28,88,96,1.0,2.4998809573070052e-06,0.023487098677091315
sio2 all 20 dish white_p05_r0025,20,28,92,100,1.0,9.224881610200023e-06,0.024993289872501174
sio2 all 20 dish white_p05_r0026,24,32,60,68,1.0,9.495296289439626e-06,0.03217778648063844
sio2 all 20 dish white_p05_r0027,24,32,64,72,1.0,3.1881004627330204e-06,0.03106952605928636
sio2 all 20 dish white_p05_r0028,24,32,68,76,1.0,5.700390713920996e-06,0.02946837743993823
sio2 all 20 dish white_p05_r0029,24,32,72,80,1.0,6.56790347584301e-06,0.027363684576189554
sio2 all 20 dish white_p05_r0030,24,32,76,84,1.0,5.820901577717985e-06,0.02531525309733907
sio2 all 20 dish white_p05_r0031,24,32,80,88,1.0,4.141274224807134e-06,0.02360096493116983
sio2 all 20 dish white_p05_r0032,24,32,84,92,1.0,1.986174591640633e-06,0.022736509510382093
sio2 all 20 dish white_p05_r0033,24,32,88,96,1.0,3.233350625213574e-06,0.02337995997479718
sio2 all 20 dish white_p05_r0034,24,32,92,100,1.0,4.565469180008271e-06,0.024613345793315543
sio2 all 20 dish white_p05_r0035,24,32,96,104,0.96875,5.9826499997705415e-05,0.027532457906707636
sio2 all 20 dish white_p05_r0036,28,36,52,60,0.90625,1.9946352892570233e-05,0.03182303764972119
sio2 all 20 dish white_p05_r0037,28,36,56,64,1.0,3.3517672257631964e-06,0.031073661231472424
sio2 all 20 dish white_p05_r0038,28,36,60,68,1.0,1.6489549172170008e-06,0.03103613327572658
sio2 all 20 dish white_p05_r0039,28,36,64,72,1.0,2.7927438589784175e-06,0.030489394766741073
sio2 all 20 dish white_p05_r0040,28,36,68,76,1.0,5.379312633560883e-06,0.028952008528307788
sio2 all 20 dish white_p05_r0041,28,36,72,80,1.0,5.876545042869387e-06,0.02699894097921541
sio2 all 20 dish white_p05_r0042,28,36,76,84,1.0,4.857117853397595e-06,0.025295992442814587
