roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p07_r0062,16,24,96,104,0.984375,2.520050129808543e-06,0.020615043883001494
sio2 all 20 dish white_p07_r0063,16,24,100,108,0.9375,2.3543189359741936e-06,0.02144200151227327
sio2 all 20 dish white_p07_r0064,16,24,104,112,0.875,7.897530051863797e-06,0.022434286884702666
sio2 all 20 dish white_p07_r0065,20,28,4,12,0.9375,6.7084247539300035e-06,0.018850410918569264
sio2 all 20 dish white_p07_r0066,20,28,8,16,1.0,1.8050606981079031e-06,0.017552090324593424
sio2 all 20 dish white_p07_r0067,20,28,12,20,1.0,2.2682107607780436e-06,0.017389825819517223
sio2 all 20 dish white_p07_r0068,20,28,16,24,1.0,5.473695097084485e-06,0.01825366920775035
sio2 all 20 dish white_p07_r0069,20,28,20,28,1.0,7.374986267020355e-06,0.019372275838762682
sio2 all 20 dish white_p07_r0070,20,28,24,32,1.0,8.009503912457986e-06,0.019529800415046317
sio2 all 20 dish white_p07_r0071,20,28,28,36,1.0,6.530777858487672e-06,0.01851539592294148
sio2 all 20 dish white_p07_r0072,20,28,32,40,1.0,2.7146211561429617e-06,0.017105414194789035
sio2 all 20 dish white_p07_r0073,20,28,36,44,1.0,1.2972483007200383e-06,0.01664303547335649
sio2 all 20 dish white_p07_r0074,20,28,40,48,0.984375,1.4154651726994348e-06,0.016673780929672706
sio2 all 20 dish white_p07_r0075,20,28,64,72,0.953125,2.97756259590344e-06,0.02019892380695482
sio2 all 20 dish white_p07_r0076,20,28,68,76,1.0,3.093253514411929e-06,0.02016251880431631
sio2 all 20 dish white_p07_r0077,20,28,72,80,1.0,2.3909090841906944e-06,0.019318420770099577
sio2 all 20 dish white_p07_r0078,20,28,76,84,1.0,2.0065560712108523e-06,0.01906654803246631
sio2 all 20 dish white_p07_r0079,20,28,80,88,1.0,1.8735783869155282e-06,0.019169908696832952
sio2 all 20 dish white_p07_r0080,20,28,84,92,1.0,1.9331117376962525e-06,0.019617759067207217
sio2 all 20 dish white_p07_r0081,20,28,88,96,1.0,1.6105384980813696e-06,0.019788414082243987
sio2 all 20 dish white_p07_r0082,20,28,92,100,1.0,1.6043295424406306e-06,0.01985801684837592
sio2 all 20 dish white_p07_r0083,20,28,96,104,1.0,2.2910245848566e-06,0.020401882910378328
sio2 all 20 dish white_p07_r0084,20,28,100,108,1.0,2.480652396169935e-06,0.020822980674130152
sio2 all 20 dish white_p07_r0085,24,32,4,12,0.984375,1.8736798777398265e-05,0.020150497167455532
sio2 all 20 dish white_p07_r0086,24,32,8,16,1.0,2.99765796015404e-06,0.01862558125985328
sio2 all 20 dish white_p07_r0087,24,32,12,20,1.0,3.5153157855830187e-06,0.018271419716056746
sio2 all 20 dish white_p07_r0088,24,32,16,24,1.0,2.9768079495999737e-06,0.017640320544078582
sio2 all 20 dish white_p07_r0089,24,32,20,28,1.0,2.1955792513197545e-06,0.017575045645086173
sio2 all 20 dish white_p07_r0090,24,32,24,32,1.0,1.949988477921848e-06,0.017563790799712303
sio2 all 20 dish white_p07_r0091,24,32,28,36,1.0,1.6831152213250435e-06,0.017224266435282954
sio2 all 20 dish white_p07_r0092,24,32,32,40,1.0,1.3932075419205332e-06,0.016904248604487068
sio2 all 20 dish white_p07_r0093,24,32,36,44,1.0,1.3535819198811125e-06,0.016873196713953577
sio2 all 20 dish white_p07_r0094,24,32,40,48,1.0,1.2938898638006378e-06,0.016919456407710896
sio2 all 20 dish white_p07_r0095,24,32,44,52,1.0,1.297364480843184e-06,0.016738885697736107
sio2 all 20 dish white_p07_r0096,24,32,48,56,0.984375,1.3755951731770078e-06,0.016563279243140515
sio2 all 20 dish white_p07_r0097,24,32,60,68,0.953125,3.7700012958425602e-06,0.018940854611343635
sio2 all 20 dish white_p07_r0098,24,32,64,72,1.0,2.9646903710600873e-06,0.020407711526158525
sio2 all 20 dish white_p07_r0099,24,32,68,76,1.0,4.715611979079022e-06,0.019739105865601972
sio2 all 20 dish white_p07_r0100,24,32,72,80,1.0,2.296430808074818e-06,0.01835434431002832
sio2 all 20 dish white_p07_r0101,24,32,76,84,1.0,2.315407305978343e-06,0.0187325841687619
sio2 all 20 dish white_p07_r0102,24,32,80,88,1.0,2.9293971687472103e-06,0.019625134600870283
sio2 all 20 dish white_p07_r0103,24,32,84,92,1.0,2.7219887941155626e-06,0.020174255719074587
sio2 all 20 dish white_p07_r0104,24,32,88,96,1.0,1.8023361781656937e-06,0.020108508157060882
sio2 all 20 dish white_p07_r0105,24,32,92,100,1.0,1.6728258195857473e-06,0.019911955984537256
sio2 all 20 dish white_p07_r0106,24,32,96,104,1.0,2.0272731183408623e-06,0.020218802765167368
sio2 all 20 dish white_p07_r0107,24,32,100,108,0.90625,1.9558503555531165e-06,0.02046446917506946
sio2 all 20 dish white_p07_r0108,28,36,4,12,1.0,4.842661779027686e-05,0.022071666053426666
sio2 all 20 dish white_p07_r0109,28,36,8,16,1.0,5.811735559456932e-06,0.020461325535364068
sio2 all 20 dish white_p07_r0110,28,36,12,20,1.0,7.473603619519314e-06,0.020196313498420954
sio2 all 20 dish white_p07_r0111,28,36,16,24,1.0,5.475174653405014e-06,0.01866272250002364
sio2 all 20 dish white_p07_r0112,28,36,20,28,1.0,2.400890332824835e-06,0.017927009349931296
sio2 all 20 dish white_p07_r0113,28,36,24,32,1.0,1.9060333905828288e-06,0.018000652440512865
sio2 all 20 dish white_p07_r0114,28,36,28,36,1.0,1.7001772694745626e-06,0.017716048251244735
