roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p13_r0001,4,12,24,32,0.890625,1.5949861999973377e-05,0.02976517405139173
sio2 all 20 dish white_p13_r0002,4,12,28,36,1.0,4.694677415793531e-05,0.03084947145367071
sio2 all 20 dish white_p13_r0003,4,12,32,40,0.90625,0.0001304364595001298,0.03373241923425374
sio2 all 20 dish white_p13_r0004,8,16,20,28,0.921875,4.446442075865353e-06,0.027390502461278655
sio2 all 20 dish white_p13_r0005,8,16,24,32,1.0,4.247289001934547e-06,0.02713408344149789
sio2 all 20 dish white_p13_r0006,8,16,28,36,1.0,4.70228095721288e-06,0.027310802546460386
sio2 all 20 dish white_p13_r0007,8,16,32,40,1.0,1.3093786488665305e-05,0.02843233549904672
sio2 all 20 dish white_p13_r0008,8,16,36,44,0.953125,0.0005052616592484057,0.03569597105436619
sio2 all 20 dish white_p13_r0009,12,20,16,24,0.890625,3.2372231631155107e-06,0.026538581577581266
sio2 all 20 dish white_p13_r0010,12,20,20,28,1.0,2.1985930748417094e-06,0.025936505402313806
sio2 all 20 dish white_p13_r0011,12,20,24,32,1.0,2.222292434910008e-06,0.025695574731551474
sio2 all 20 dish white_p13_r0012,12,20,28,36,1.0,2.7622531302163524e-06,0.02589558103512905
sio2 all 20 dish white_p13_r0013,12,20,32,40,1.0,3.274137612926231e-06,0.026496809533068995
sio2 all 20 dish white_p13_r0014,12,20,36,44,1.0,2.114476277871706e-05,0.02825770716121622
sio2 all 20 dish white_p13_r0015,12,20,40,48,0.921875,0.00107452420485312,0.03998679936291256
sio2 all 20 dish white_p13_r0016,16,24,20,28,1.0,2.1461574697151754e-06,0.025025164182345374
sio2 all 20 dish white_p13_r0017,16,24,24,32,1.0,2.10884503944323e-06,0.024844716824349296
sio2 all 20 dish white_p13_r0018,16,24,28,36,1.0,2.631204831660593e-06,0.025026800841806248
sio2 all 20 dish white_p13_r0019,16,24,32,40,1.0,2.720115503022936e-06,0.025560859077282196
sio2 all 20 dish white_p13_r0020,16,24,36,44,1.0,6.777471910797209e-06,0.026466360692903815
sio2 all 20 dish white_p13_r0021,16,24,40,48,1.0,0.00019167020671228768,0.031103527112743307
sio2 all 20 dish white_p13_r0022,16,24,44,52,0.90625,0.006743004545004379,0.06150562623761067
sio2 all 20 dish white_p13_r0023,20,28,16,24,0.9375,3.541782583072289e-06,0.023355751982802434
sio2 all 20 dish white_p13_r0024,20,28,20,28,1.0,3.900500832152984e-06,0.02356083154016557
sio2 all 20 dish white_p13_r0025,20,28,24,32,1.0,3.600124732239295e-06,0.02362752548906648
sio2 all 20 dish white_p13_r0026,20,28,28,36,1.0,3.8878102740657315e-06,0.023915278508896826
sio2 all 20 dish white_p13_r0027,20,28,32,40,1.0,4.002542314192692e-06,0.024364238039457847
sio2 all 20 dish white_p13_r0028,20,28,36,44,1.0,5.833079299788743e-06,0.024851663748984048
sio2 all 20 dish white_p13_r0029,20,28,40,48,1.0,2.617552899319573e-05,0.02654419728791767
sio2 all 20 dish white_p13_r0030,20,28,44,52,1.0,0.0016802826559480265,0.037243298146184746
sio2 all 20 dish white_p13_r0031,24,32,16,24,1.0,2.309142221165285e-06,0.021923559580019025
sio2 all 20 dish white_p13_r0032,24,32,20,28,1.0,2.343882635169597e-06,0.021904425215239155
sio2 all 20 dish white_p13_r0033,24,32,24,32,1.0,2.6078276973827986e-06,0.022123637576728014
sio2 all 20 dish white_p13_r0034,24,32,28,36,1.0,2.7062984173339753e-06,0.02261372654971629
