roi_id,r0,r1,c0,c1,coverage,spectral_variance
bare silicon all_p03_r0001,32,64,0,32,0.88671875,0.07819100837560489
bare silicon all_p03_r0002,64,96,0,32,0.947265625,0.07529873800638796
