roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
Clean 8_7_p04_r0001,4,12,12,20,0.90625,2.4253392212113525e-05,0.06638249594254958
Clean 8_7_p04_r0002,4,12,16,24,1.0,1.7361376167984865e-05,0.0654018218948186
Clean 8_7_p04_r0003,4,12,20,28,1.0,1.8836679938690824e-05,0.06648071568629786
Clean 8_7_p04_r0004,4,12,24,32,0.90625,3.2686370398289194e-05,0.0692934923962465
Clean 8_7_p04_r0005,8,16,8,16,0.921875,3.029332566320851e-05,0.06394186663325875
Clean 8_7_p04_r0006,8,16,12,20,1.0,2.8977874220755263e-05,0.06352301380044444
Clean 8_7_p04_r0007,8,16,16,24,1.0,2.166554373094958e-05,0.06329898873559112
Clean 8_7_p04_r0008,8,16,20,28,1.0,2.1419152042991112e-05,0.0640296414224109
Clean 8_7_p04_r0009,8,16,24,32,1.0,2.7797288537343136e-05,0.06598632940508198
Clean 8_7_p04_r0010,8,16,28,36,0.96875,2.595168879618357e-05,0.06788313082951968
Clean 8_7_p04_r0011,12,20,4,12,1.0,3.380020839018579e-05,0.06245930434789431
Clean 8_7_p04_r0012,12,20,8,16,1.0,1.7433070408452388e-05,0.06000053535211487
Clean 8_7_p04_r0013,12,20,12,20,1.0,1.4901542492018633e-05,0.05937499241988333
Clean 8_7_p04_r0014,12,20,16,24,1.0,1.8303888020651968e-05,0.059884395856371904
Clean 8_7_p04_r0015,12,20,20,28,1.0,1.934112535753766e-05,0.06084664229896151
Clean 8_7_p04_r0016,12,20,24,32,1.0,2.1447635372359543e-05,0.06280723705557091
Clean 8_7_p04_r0017,12,20,28,36,1.0,4.366236021276743e-05,0.06730347540640794
Clean 8_7_p04_r0018,12,20,32,40,0.984375,4.497305502496748e-05,0.06933480859179492
Clean 8_7_p04_r0019,16,24,4,12,1.0,2.402157397218846e-05,0.059754260146828185
Clean 8_7_p04_r0020,16,24,8,16,1.0,1.2833979744941154e-05,0.05783175635183435
Clean 8_7_p04_r0021,16,24,12,20,1.0,1.2541955759051359e-05,0.05739865198494825
Clean 8_7_p04_r0022,16,24,16,24,1.0,1.3684410692180728e-05,0.057757151281312924
Clean 8_7_p04_r0023,16,24,20,28,1.0,1.4510520162637225e-05,0.058602093705664965
Clean 8_7_p04_r0024,16,24,24,32,1.0,2.1686427035080598e-05,0.06026673208499629
Clean 8_7_p04_r0025,16,24,28,36,1.0,5.702521337821218e-05,0.06452666539609914
Clean 8_7_p04_r0026,16,24,32,40,1.0,5.599655281533571e-05,0.06617588693460516
Clean 8_7_p04_r0027,16,24,36,44,1.0,2.8571897705702947e-05,0.06424308067088044
Clean 8_7_p04_r0028,20,28,0,8,0.859375,0.0007165528992907168,0.07250244406744405
Clean 8_7_p04_r0029,20,28,4,12,1.0,2.5875374956939228e-05,0.05823915051958342
Clean 8_7_p04_r0030,20,28,8,16,1.0,1.8413180856204668e-05,0.056088149747344065
Clean 8_7_p04_r0031,20,28,12,20,1.0,1.8379735778686467e-05,0.055559768664513884
Clean 8_7_p04_r0032,20,28,16,24,1.0,1.9276372978399217e-05,0.056107034776463324
Clean 8_7_p04_r0033,20,28,20,28,1.0,1.9908352382697545e-05,0.05697320358526323
Clean 8_7_p04_r0034,20,28,24,32,1.0,2.0630302112480948e-05,0.057547832039358204
Clean 8_7_p04_r0035,20,28,28,36,1.0,2.3851687762397332e-05,0.05863824245613633
Clean 8_7_p04_r0036,20,28,32,40,1.0,2.235523981971596e-05,0.059945951508840356
Clean 8_7_p04_r0037,20,28,36,44,1.0,2.0695911164729046e-05,0.06064753844480179
Clean 8_7_p04_r0038,20,28,40,48,1.0,2.189623125810597e-05,0.06120293232263182
Clean 8_7_p04_r0039,20,28,44,52,0.90625,2.771886940183187e-05,0.06239275434008975
Clean 8_7_p04_r0040,24,32,4,12,0.984375,5.527000486735246e-05,0.05552030447633023
Clean 8_7_p04_r0041,24,32,8,16,1.0,4.191377340031836e-05,0.05292749448712538
Clean 8_7_p04_r0042,24,32,12,20,1.0,4.192539927929216e-05,0.05211865867238638
Clean 8_7_p04_r0043,24,32,16,24,1.0,4.3054537288716466e-05,0.05230231683619968
Clean 8_7_p04_r0044,24,32,20,28,1.0,4.591697822204876e-05,0.05304762559485649
Clean 8_7_p04_r0045,24,32,24,32,1.0,4.7240200089258986e-05,0.053685851352531844
Clean 8_7_p04_r0046,24,32,28,36,1.0,4.280464208311509e-05,0.05449852498400676
Clean 8_7_p04_r0047,24,32,32,40,1.0,4.1707434739350224e-05,0.05560125782345205
Clean 8_7_p04_r0048,24,32,36,44,1.0,4.2913821180565455e-05,0.05646056404330482
Clean 8_7_p04_r0049,24,32,40,48,1.0,4.263929534404063e-05,0.056710259565607546
Clean 8_7_p04_r0050,24,32,44,52,1.0,4.21103946773646e-05,0.057609266587384196
Clean 8_7_p04_r0051,24,32,48,56,0.90625,4.1096890871728676e-05,0.058837509949870706
Clean 8_7_p04_r0052,28,36,4,12,0.875,3.2605354506282115e-05,0.051107730377504726
Clean 8_7_p04_r0053,28,36,8,16,1.0,2.1236995217714654e-05,0.048894125060275045
Clean 8_7_p04_r0054,28,36,12,20,1.0,1.9666722022462446e-05,0.048323200885127295
Clean 8_7_p04_r0055,28,36,16,24,1.0,1.8971632336193886e-05,0.04815677520632604
Clean 8_7_p04_r0056,28,36,20,28,1.0,2.3034468272408754e-05,0.04855590108519143
Clean 8_7_p04_r0057,28,36,24,32,1.0,2.1604904047433226e-05,0.04980462255363234
Clean 8_7_p04_r0058,28,36,28,36,1.0,2.1634855696763907e-05,0.051560785599825604
Clean 8_7_p04_r0059,28,36,32,40,1.0,2.2273946470027134e-05,0.052409141106655295
Clean 8_7_p04_r0060,28,36,36,44,1.0,2.032697753219962e-05,0.0522770410209815
Clean 8_7_p04_r0061,28,36,40,48,1.0,2.615881865358461e-05,0.0534743868420199
Clean 8_7_p04_r0062,28,36,44,52,1.0,2.7022840433124085e-05,0.054720515146687396
Clean 8_7_p04_r0063,28,36,48,56,1.0,2.375393238579246e-05,0.05491259837619594
Clean 8_7_p04_r0064,28,36,52,60,0.90625,2.2164927388935976e-05,0.05617788051754066
Clean 8_7_p04_r0065,32,40,8,16,1.0,1.2810830615050786e-05,0.04656013904894271
Clean 8_7_p04_r0066,32,40,12,20,1.0,1.1373620914377483e-05,0.04614079064045233
Clean 8_7_p04_r0067,32,40,16,24,1.0,1.1211840440688868e-05,0.046192635042028786
Clean 8_7_p04_r0068,32,40,20,28,1.0,1.1064902585086909e-05,0.046541741470790765
Clean 8_7_p04_r0069,32,40,24,32,1.0,1.2429290439671907e-05,0.04777171665026276
Clean 8_7_p04_r0070,32,40,28,36,1.0,1.756940026379063e-05,0.049852722539802365
Clean 8_7_p04_r0071,32,40,32,40,1.0,1.6464243786907728e-05,0.05062889518992919
Clean 8_7_p04_r0072,32,40,36,44,1.0,1.2910408950690826e-05,0.04992823547584935
Clean 8_7_p04_r0073,32,40,40,48,1.0,2.2515271100564127e-05,0.05144852417435015
Clean 8_7_p04_r0074,32,40,44,52,1.0,2.0843312318213467e-05,0.05326762331404613
Clean 8_7_p04_r0075,32,40,48,56,1.0,1.4495234471865508e-05,0.052976398561322295
Clean 8_7_p04_r0076,32,40,52,60,1.0,1.7558087702012956e-05,0.05362578866193232
Clean 8_7_p04_r0077,32,40,56,64,0.984375,2.0632109175166952e-05,0.05540194401167256
Clean 8_7_p04_r0078,36,44,8,16,0.984375,1.3103772131449938e-05,0.0459276507236145
Clean 8_7_p04_r0079,36,44,12,20,1.0,1.1766046262824806e-05,0.04509700926940405
Clean 8_7_p04_r0080,36,44,16,24,1.0,1.1185963721423538e-05,0.045162410336244845
Clean 8_7_p04_r0081,36,44,20,28,1.0,1.1000565919077118e-05,0.045616027387239445
Clean 8_7_p04_r0082,36,44,24,32,1.0,1.1463322525386481e-05,0.04651473459298037
Clean 8_7_p04_r0083,36,44,28,36,1.0,1.2923647950858971e-05,0.047834550223990246
Clean 8_7_p04_r0084,36,44,32,40,1.0,1.2595565637678229e-05,0.048554280091278865
Clean 8_7_p04_r0085,36,44,36,44,1.0,1.1397641021181485e-05,0.04853643992303222
Clean 8_7_p04_r0086,36,44,40,48,1.0,1.2802313014828674e-05,0.04908992404413789
Clean 8_7_p04_r0087,36,44,44,52,1.0,1.5264458688789996e-05,0.05062071655935584
Clean 8_7_p04_r0088,36,44,48,56,1.0,1.4625253483285761e-05,0.051837979119845605
Clean 8_7_p04_r0089,36,44,52,60,1.0,1.4581129058078235e-05,0.05189634023411017
Clean 8_7_p04_r0090,36,44,56,64,1.0,1.498790871384073e-05,0.052339430205092956
Clean 8_7_p04_r0091,36,44,60,68,0.984375,1.6092158117921515e-05,0.053786147552214274
Clean 8_7_p04_r0092,40,48,8,16,0.859375,1.116424541051924e-05,0.04590176913374813
Clean 8_7_p04_r0093,40,48,12,20,1.0,1.0261642073597936e-05,0.04494098652830148
Clean 8_7_p04_r0094,40,48,16,24,1.0,1.0245720273687359e-05,0.0446684053102914
Clean 8_7_p04_r0095,40,48,20,28,1.0,1.076523604221793e-05,0.04499581490251888
Clean 8_7_p04_r0096,40,48,24,32,1.0,1.1582694539242735e-05,0.04604400537267969
Clean 8_7_p04_r0097,40,48,28,36,1.0,1.149916863673178e-05,0.0475133255094676
Clean 8_7_p04_r0098,40,48,32,40,1.0,1.1962711990900895e-05,0.048141775380047526
Clean 8_7_p04_r0099,40,48,36,44,1.0,1.1829789590625118e-05,0.04787800464921107
Clean 8_7_p04_r0100,40,48,40,48,1.0,1.0873414629172743e-05,0.047817341225906355
Clean 8_7_p04_r0101,40,48,44,52,1.0,1.1614922767965128e-05,0.04862168032868126
Clean 8_7_p04_r0102,40,48,48,56,1.0,1.4180348867621718e-05,0.05038212095889845
Clean 8_7_p04_r0103,40,48,52,60,1.0,1.3598826310879854e-05,0.05122210097538937
Clean 8_7_p04_r0104,40,48,56,64,1.0,1.2307507962083079e-05,0.05135152816907632
Clean 8_7_p04_r0105,40,48,60,68,1.0,1.1258540343416129e-05,0.05223750880560038
Clean 8_7_p04_r0106,40,48,64,72,1.0,1.4353457334076177e-05,0.05421420428265286
Clean 8_7_p04_r0107,40,48,68,76,0.859375,1.9176090907284698e-05,0.057319535672242655
Clean 8_7_p04_r0108,44,52,8,16,0.859375,1.051979336112614e-05,0.04600165815081464
Clean 8_7_p04_r0109,44,52,12,20,1.0,1.0210539740419844e-05,0.04484902505296875
Clean 8_7_p04_r0110,44,52,16,24,1.0,9.892444316575983e-06,0.04421137737451024
Clean 8_7_p04_r0111,44,52,20,28,1.0,1.1126907898377026e-05,0.04448318176588259
Clean 8_7_p04_r0112,44,52,24,32,1.0,1.2197528573140949e-05,0.045584355236214104
Clean 8_7_p04_r0113,44,52,28,36,1.0,1.2713185761721128e-05,0.047028997745506264
Clean 8_7_p04_r0114,44,52,32,40,1.0,1.2878858815207754e-05,0.04739754069749559
Clean 8_7_p04_r0115,44,52,36,44,1.0,1.1121509636885703e-05,0.046960954975238625
Clean 8_7_p04_r0116,44,52,40,48,1.0,1.0283288235826708e-05,0.04698073012642362
Clean 8_7_p04_r0117,44,52,44,52,1.0,9.762882926635691e-06,0.0475322182988418
Clean 8_7_p04_r0118,44,52,48,56,1.0,1.2043692922622636e-05,0.048772276619231385
Clean 8_7_p04_r0119,44,52,52,60,1.0,1.1664179463862347e-05,0.050042959093464484
Clean 8_7_p04_r0120,44,52,56,64,1.0,1.1112495729505014e-05,0.05088893238184977
Clean 8_7_p04_r0121,44,52,60,68,1.0,1.1998541460749171e-05,0.05204264240345715
Clean 8_7_p04_r0122,44,52,64,72,1.0,1.2929360416708347e-05,0.053811726175665084
Clean 8_7_p04_r0123,44,52,68,76,1.0,1.8338100941489884e-05,0.056472706944822246
Clean 8_7_p04_r0124,44,52,72,80,0.90625,2.0206585874096114e-05,0.05909980382423827
Clean 8_7_p04_r0125,48,56,8,16,0.890625,1.178902474628307e-05,0.04612901694188401
Clean 8_7_p04_r0126,48,56,12,20,1.0,1.1055199691572084e-05,0.04499500740426278
Clean 8_7_p04_r0127,48,56,16,24,1.0,1.0739689208719735e-05,0.04438803533677716
Clean 8_7_p04_r0128,48,56,20,28,1.0,1.1012729942154927e-05,0.044478740547937774
Clean 8_7_p04_r0129,48,56,24,32,1.0,1.2044150479024932e-05,0.04521307349446065
Clean 8_7_p04_r0130,48,56,28,36,1.0,1.1705203983379725e-05,0.04613171316455149
Clean 8_7_p04_r0131,48,56,32,40,1.0,1.2704059819922576e-05,0.04710159974383855
