roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p06_r0001,4,12,40,48,0.953125,0.0002395621952970845,0.040777196022195906
bare silicon all_p06_r0002,8,16,36,44,0.90625,0.00017549611038514018,0.03638440108668521
bare silicon all_p06_r0003,8,16,40,48,1.0,1.6711192839055352e-05,0.033510802881247276
bare silicon all_p06_r0004,12,20,32,40,0.859375,0.0003381923421375161,0.03846803119679119
bare silicon all_p06_r0005,12,20,36,44,1.0,2.0739311703237036e-05,0.03181751049942397
bare silicon all_p06_r0006,12,20,40,48,1.0,5.630429637603605e-06,0.0313680571940266
bare silicon all_p06_r0007,12,20,44,52,0.90625,0.00031449815749364564,0.04022609355504384
bare silicon all_p06_r0008,16,24,32,40,1.0,0.00011561258724562466,0.03272229375778291
bare silicon all_p06_r0009,16,24,36,44,1.0,3.1368105658064904e-06,0.030016029050877364
bare silicon all_p06_r0010,16,24,40,48,1.0,4.0190132854825206e-06,0.03059124914939236
bare silicon all_p06_r0011,16,24,44,52,0.984375,0.0002048031727100407,0.03731752928958833
bare silicon all_p06_r0012,20,28,28,36,0.96875,0.00014586117189549787,0.03352601996934073
bare silicon all_p06_r0013,20,28,32,40,1.0,3.2171572466947877e-06,0.02946642097776968
bare silicon all_p06_r0014,20,28,36,44,1.0,2.6654430725810077e-06,0.029321949300851628
bare silicon all_p06_r0015,20,28,40,48,1.0,4.451525239461396e-06,0.03041279491470248
bare silicon all_p06_r0016,20,28,44,52,1.0,5.98327665456735e-05,0.03360013460334038
bare silicon all_p06_r0017,24,32,24,32,0.921875,0.00041963902635377135,0.03740143776464527
bare silicon all_p06_r0018,24,32,28,36,1.0,6.171479708142995e-06,0.029600344389165596
bare silicon all_p06_r0019,24,32,32,40,1.0,2.492747026993412e-06,0.02856010129125399
bare silicon all_p06_r0020,24,32,36,44,1.0,2.953398806175255e-06,0.02872067873828576
bare silicon all_p06_r0021,24,32,40,48,1.0,5.110106764194486e-06,0.02923101429233385
bare silicon all_p06_r0022,24,32,44,52,1.0,1.7564206084104764e-05,0.030519317457420245
bare silicon all_p06_r0023,28,36,24,32,1.0,6.259765121608222e-05,0.030774129526107044
bare silicon all_p06_r0024,28,36,28,36,1.0,2.6387580981402296e-06,0.028536123717783378
bare silicon all_p06_r0025,28,36,32,40,1.0,2.5746068492072127e-06,0.02802678010006078
bare silicon all_p06_r0026,28,36,36,44,1.0,3.218980770040098e-06,0.027561397027918565
bare silicon all_p06_r0027,28,36,40,48,1.0,3.0059330235108197e-06,0.027343343484292314
bare silicon all_p06_r0028,28,36,44,52,1.0,6.820509284263673e-06,0.028284480410893653
bare silicon all_p06_r0029,28,36,48,56,0.9375,0.0004937539521299869,0.03964488516034065
bare silicon all_p06_r0030,32,40,20,28,0.96875,0.00029065928495524475,0.03369925234136204
bare silicon all_p06_r0031,32,40,24,32,1.0,4.387180573368692e-06,0.028772017609660937
bare silicon all_p06_r0032,32,40,28,36,1.0,8.340411830242404e-06,0.028782156293400665
bare silicon all_p06_r0033,32,40,32,40,1.0,8.422849238421185e-06,0.027791820939525463
bare silicon all_p06_r0034,32,40,36,44,1.0,2.6103337296590946e-06,0.026308708112805976
bare silicon all_p06_r0035,32,40,40,48,1.0,2.354781578603429e-06,0.026131272006357207
bare silicon all_p06_r0036,32,40,44,52,1.0,4.664840258432151e-06,0.02704444607878737
bare silicon all_p06_r0037,32,40,48,56,1.0,0.00029878932368272997,0.03489044748167048
bare silicon all_p06_r0038,36,44,16,24,0.859375,0.0005978461544724525,0.03804351995722971
bare silicon all_p06_r0039,36,44,20,28,1.0,1.1131120857636249e-05,0.02847679321079647
bare silicon all_p06_r0040,36,44,24,32,1.0,4.991024032904216e-06,0.028030601522743403
bare silicon all_p06_r0041,36,44,28,36,1.0,1.3738034152831951e-05,0.028553543871726064
bare silicon all_p06_r0042,36,44,32,40,1.0,1.4276749892913838e-05,0.027248001871292664
bare silicon all_p06_r0043,36,44,36,44,1.0,2.469129003415122e-06,0.025338309309957095
bare silicon all_p06_r0044,36,44,40,48,1.0,2.088833638678259e-06,0.025270892541013924
bare silicon all_p06_r0045,36,44,44,52,1.0,3.578279924194325e-06,0.026031982722265513
bare silicon all_p06_r0046,36,44,48,56,1.0,5.9641593534101974e-05,0.029824479220106087
bare silicon all_p06_r0047,40,48,16,24,0.984375,0.0002405392000596348,0.031300950633096854
bare silicon all_p06_r0048,40,48,20,28,1.0,3.245322752478039e-06,0.02685577779123657
bare silicon all_p06_r0049,40,48,24,32,1.0,4.716244623316124e-06,0.026365233950813784
bare silicon all_p06_r0050,40,48,28,36,1.0,1.0372546137481762e-05,0.026311182445517698
bare silicon all_p06_r0051,40,48,32,40,1.0,9.102614095650213e-06,0.02553178135335568
bare silicon all_p06_r0052,40,48,36,44,1.0,2.574975086240021e-06,0.0244680841621306
bare silicon all_p06_r0053,40,48,40,48,1.0,2.5171122597634453e-06,0.024453023755203217
bare silicon all_p06_r0054,40,48,44,52,1.0,3.2699139505520688e-06,0.025116631981516646
bare silicon all_p06_r0055,40,48,48,56,1.0,1.5238312008201658e-05,0.027429771221284406
bare silicon all_p06_r0056,44,52,16,24,1.0,1.1061148860728644e-05,0.02680298104854316
bare silicon all_p06_r0057,44,52,20,28,1.0,2.438369819518205e-06,0.025708664498887316
bare silicon all_p06_r0058,44,52,24,32,1.0,2.3405224327913773e-06,0.025135778719247055
bare silicon all_p06_r0059,44,52,28,36,1.0,2.34254990528754e-06,0.02452169583179857
bare silicon all_p06_r0060,44,52,32,40,1.0,2.220364859071925e-06,0.023977392465278805
bare silicon all_p06_r0061,44,52,36,44,1.0,2.0261728946110922e-06,0.023682892874830823
bare silicon all_p06_r0062,44,52,40,48,1.0,2.2350022638962333e-06,0.023658225202473435
bare silicon all_p06_r0063,44,52,44,52,1.0,3.1504511490383586e-06,0.024214211110101344
