roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p12_r0001,4,12,28,36,0.9375,1.1955125568799175e-05,0.024874721608571224
sio2 all 20 dish white_p12_r0002,4,12,32,40,1.0,5.490450814528327e-06,0.023236214119773915
sio2 all 20 dish white_p12_r0003,8,16,28,36,1.0,4.926913032203747e-06,0.022577956460694673
sio2 all 20 dish white_p12_r0004,8,16,32,40,1.0,3.9549165202440825e-06,0.021188672459530846
sio2 all 20 dish white_p12_r0005,8,16,36,44,1.0,2.9758849124042923e-06,0.020925968575183192
sio2 all 20 dish white_p12_r0006,12,20,24,32,0.984375,2.6307973377630397e-06,0.022166119799529087
sio2 all 20 dish white_p12_r0007,12,20,28,36,1.0,2.5762763026615543e-06,0.021151794903825967
sio2 all 20 dish white_p12_r0008,12,20,32,40,1.0,2.717889354706847e-06,0.020518591759851823
sio2 all 20 dish white_p12_r0009,12,20,36,44,1.0,5.3517592604756354e-06,0.021359421819642746
sio2 all 20 dish white_p12_r0010,12,20,40,48,0.953125,5.372800887606838e-06,0.021275392488754458
sio2 all 20 dish white_p12_r0011,16,24,24,32,0.984375,3.5496510530057114e-06,0.02266148866276522
sio2 all 20 dish white_p12_r0012,16,24,28,36,1.0,3.3179488934651874e-06,0.021422865242484972
sio2 all 20 dish white_p12_r0013,16,24,32,40,1.0,2.5771893177115434e-06,0.020780091161453195
sio2 all 20 dish white_p12_r0014,16,24,36,44,1.0,4.455581174668139e-06,0.021637895468892072
sio2 all 20 dish white_p12_r0015,16,24,40,48,1.0,4.126422888701795e-06,0.021444356790676185
sio2 all 20 dish white_p12_r0016,16,24,44,52,0.953125,2.8967657584113552e-06,0.019769205721563807
sio2 all 20 dish white_p12_r0017,20,28,20,28,0.859375,3.3216470512312122e-06,0.024505989439224215
sio2 all 20 dish white_p12_r0018,20,28,24,32,1.0,3.6379488470921942e-06,0.023532239355068124
sio2 all 20 dish white_p12_r0019,20,28,28,36,1.0,4.983360365120542e-06,0.021554344057734143
sio2 all 20 dish white_p12_r0020,20,28,32,40,1.0,2.593865158415257e-06,0.020093347605645406
sio2 all 20 dish white_p12_r0021,20,28,36,44,1.0,2.5305981891978682e-06,0.02021369575195454
sio2 all 20 dish white_p12_r0022,20,28,40,48,1.0,2.0935284389752187e-06,0.02011985529200113
sio2 all 20 dish white_p12_r0023,20,28,44,52,0.90625,2.209552179282828e-06,0.0193254008625363
sio2 all 20 dish white_p12_r0024,24,32,20,28,0.921875,3.673420499491491e-06,0.024154059002819653
sio2 all 20 dish white_p12_r0025,24,32,24,32,1.0,4.398908789570544e-06,0.023745542286546004
sio2 all 20 dish white_p12_r0026,24,32,28,36,1.0,7.938200627716135e-06,0.021560616217055427
sio2 all 20 dish white_p12_r0027,24,32,32,40,1.0,2.786175706022699e-06,0.019276241279008646
sio2 all 20 dish white_p12_r0028,24,32,36,44,1.0,2.145215917649445e-06,0.01901606840047208
sio2 all 20 dish white_p12_r0029,24,32,40,48,1.0,2.640934165446852e-06,0.01878142053692655
sio2 all 20 dish white_p12_r0030,24,32,44,52,0.90625,2.61654100975196e-06,0.018237225562560123
sio2 all 20 dish white_p12_r0031,28,36,16,24,0.90625,9.174614067882874e-06,0.024640093230743367
sio2 all 20 dish white_p12_r0032,28,36,20,28,1.0,5.8594081908323924e-06,0.02271962924495929
sio2 all 20 dish white_p12_r0033,28,36,24,32,1.0,6.423220163954955e-06,0.022523291820942086
sio2 all 20 dish white_p12_r0034,28,36,28,36,1.0,7.814764608702335e-06,0.02164296032184537
sio2 all 20 dish white_p12_r0035,28,36,32,40,1.0,4.309523006523347e-06,0.019450576708556377
sio2 all 20 dish white_p12_r0036,28,36,36,44,1.0,2.3788232979334986e-06,0.018361350249664572
sio2 all 20 dish white_p12_r0037,28,36,40,48,1.0,2.489728096509523e-06,0.017566559019669605
sio2 all 20 dish white_p12_r0038,28,36,44,52,1.0,2.4478319316191794e-06,0.01708764643867199
sio2 all 20 dish white_p12_r0039,32,40,8,16,0.890625,3.973806175520703e-06,0.026290457822380615
sio2 all 20 dish white_p12_r0040,32,40,12,20,0.984375,6.630453155995486e-06,0.02650098437401517
sio2 all 20 dish white_p12_r0041,32,40,16,24,1.0,9.654374637250524e-06,0.02493832345153871
sio2 all 20 dish white_p12_r0042,32,40,20,28,1.0,6.835437616923868e-06,0.021640948407730207
sio2 all 20 dish white_p12_r0043,32,40,24,32,1.0,4.912989464198677e-06,0.020379943874343973
sio2 all 20 dish white_p12_r0044,32,40,28,36,1.0,5.02311562076259e-06,0.02040830365338188
sio2 all 20 dish white_p12_r0045,32,40,32,40,1.0,1.1572694037372295e-05,0.020452902887897036
sio2 all 20 dish white_p12_r0046,32,40,36,44,1.0,3.648008764655065e-05,0.02073254498238708
sio2 all 20 dish white_p12_r0047,32,40,40,48,1.0,3.1650526771713154e-05,0.01879475498186133
sio2 all 20 dish white_p12_r0048,32,40,44,52,1.0,3.248383231596381e-06,0.017067391119355783
sio2 all 20 dish white_p12_r0049,32,40,48,56,0.984375,3.816582412626155e-06,0.01726487230742085
sio2 all 20 dish white_p12_r0050,36,44,8,16,1.0,2.94325220466044e-06,0.025289685546658985
sio2 all 20 dish white_p12_r0051,36,44,12,20,1.0,3.1260366472377294e-06,0.025171493756477568
sio2 all 20 dish white_p12_r0052,36,44,16,24,1.0,6.749704182277583e-06,0.024747192275960096
sio2 all 20 dish white_p12_r0053,36,44,20,28,1.0,1.243183196588534e-05,0.02315146384862349
sio2 all 20 dish white_p12_r0054,36,44,24,32,1.0,1.0173030569063513e-05,0.020990284379291093
sio2 all 20 dish white_p12_r0055,36,44,28,36,1.0,2.3391388699654393e-06,0.019659498259907815
sio2 all 20 dish white_p12_r0056,36,44,32,40,1.0,2.746784681683826e-05,0.022355779770242237
sio2 all 20 dish white_p12_r0057,36,44,36,44,1.0,9.897721019883465e-05,0.026439007006147035
sio2 all 20 dish white_p12_r0058,36,44,40,48,1.0,0.00011257513603652956,0.022315780337104324
sio2 all 20 dish white_p12_r0059,36,44,44,52,1.0,3.986613959818077e-06,0.017266756074261938
sio2 all 20 dish white_p12_r0060,36,44,48,56,1.0,1.4173564479396302e-05,0.019157243281217252
sio2 all 20 dish white_p12_r0061,36,44,52,60,0.984375,1.502667042118983e-05,0.020264561417233658
sio2 all 20 dish white_p12_r0062,40,48,4,12,0.96875,5.936000182216367e-06,0.025376167156056912
sio2 all 20 dish white_p12_r0063,40,48,8,16,1.0,3.6280179673632982e-06,0.02413758855110481
