roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p10_r0061,48,56,88,96,1.0,3.234315366992363e-06,0.019142595342925575
sio2 all 20 dish white_p10_r0062,48,56,92,100,0.90625,5.122800107125143e-06,0.02034405528287
sio2 all 20 dish white_p10_r0063,52,60,8,16,0.96875,2.3360826118211668e-06,0.020003973548291278
sio2 all 20 dish white_p10_r0064,52,60,12,20,1.0,1.920266742799221e-06,0.019074347809420873
sio2 all 20 dish white_p10_r0065,52,60,16,24,1.0,1.5506863380396911e-06,0.018259254896777825
sio2 all 20 dish white_p10_r0066,52,60,20,28,1.0,1.3851413308754599e-06,0.01776997307374261
sio2 all 20 dish white_p10_r0067,52,60,24,32,1.0,1.4116459071046373e-06,0.017454328848268606
sio2 all 20 dish white_p10_r0068,52,60,28,36,1.0,1.3927575110404974e-06,0.017271894500164673
sio2 all 20 dish white_p10_r0069,52,60,32,40,1.0,1.3173929635516152e-06,0.017292068538185858
sio2 all 20 dish white_p10_r0070,52,60,36,44,1.0,1.3651876124414274e-06,0.017233903824569293
sio2 all 20 dish white_p10_r0071,52,60,40,48,1.0,1.3415500893568985e-06,0.017204594051910244
sio2 all 20 dish white_p10_r0072,52,60,44,52,1.0,1.7336665890015004e-06,0.017429786906982183
sio2 all 20 dish white_p10_r0073,52,60,48,56,1.0,2.3012522243727095e-06,0.017498430976059853
sio2 all 20 dish white_p10_r0074,52,60,52,60,0.9375,2.0489485811817728e-06,0.017149459481938967
sio2 all 20 dish white_p10_r0075,52,60,80,88,1.0,1.9044004737259064e-06,0.018169329737668945
sio2 all 20 dish white_p10_r0076,52,60,84,92,1.0,1.9120173628154667e-06,0.01897698035363289
sio2 all 20 dish white_p10_r0077,52,60,88,96,0.921875,2.1954222318065715e-06,0.01973813459130871
sio2 all 20 dish white_p10_r0078,56,64,8,16,0.90625,1.8653121253070998e-06,0.019758601738010792
sio2 all 20 dish white_p10_r0079,56,64,12,20,1.0,1.7172453696205433e-06,0.01912281704317411
sio2 all 20 dish white_p10_r0080,56,64,16,24,1.0,1.697526090221183e-06,0.018549636983962087
sio2 all 20 dish white_p10_r0081,56,64,20,28,1.0,1.6800416886602095e-06,0.01830977248753054
sio2 all 20 dish white_p10_r0082,56,64,24,32,1.0,1.8234017130339831e-06,0.018128071741287843
sio2 all 20 dish white_p10_r0083,56,64,28,36,1.0,1.6830316653607516e-06,0.017676867856933686
sio2 all 20 dish white_p10_r0084,56,64,32,40,1.0,1.3874960386556027e-06,0.017540285620567815
sio2 all 20 dish white_p10_r0085,56,64,36,44,1.0,1.3136653940874552e-06,0.017547832214706106
sio2 all 20 dish white_p10_r0086,56,64,40,48,1.0,1.3869318942826848e-06,0.017478416580237154
sio2 all 20 dish white_p10_r0087,56,64,44,52,1.0,1.7115389076044356e-06,0.0175717592349403
sio2 all 20 dish white_p10_r0088,56,64,48,56,1.0,1.7959372197933739e-06,0.017392422844090632
sio2 all 20 dish white_p10_r0089,56,64,52,60,1.0,3.630159039370639e-06,0.01759098458949053
sio2 all 20 dish white_p10_r0090,56,64,56,64,0.984375,4.589228350245939e-06,0.017999595451731864
sio2 all 20 dish white_p10_r0091,56,64,60,68,0.90625,2.8264418635564554e-06,0.018073563737401183
sio2 all 20 dish white_p10_r0092,56,64,76,84,0.984375,2.052553348059615e-06,0.018165602700858305
sio2 all 20 dish white_p10_r0093,56,64,80,88,1.0,2.139814513030688e-06,0.018466955491636728
sio2 all 20 dish white_p10_r0094,56,64,84,92,0.90625,2.3113460279208337e-06,0.019368931611939245
sio2 all 20 dish white_p10_r0095,60,68,12,20,0.90625,2.7663425065180046e-06,0.01990610424245374
sio2 all 20 dish white_p10_r0096,60,68,16,24,1.0,2.4174789639970024e-06,0.019362589361978266
sio2 all 20 dish white_p10_r0097,60,68,20,28,1.0,2.071249780357747e-06,0.019136179976982956
sio2 all 20 dish white_p10_r0098,60,68,24,32,1.0,2.60071539184403e-06,0.019107512782554438
sio2 all 20 dish white_p10_r0099,60,68,28,36,1.0,2.8328698882734134e-06,0.018772398839843357
sio2 all 20 dish white_p10_r0100,60,68,32,40,1.0,2.3339212306591216e-06,0.01836210335651636
sio2 all 20 dish white_p10_r0101,60,68,36,44,1.0,1.7793026856520235e-06,0.01803570478100053
sio2 all 20 dish white_p10_r0102,60,68,40,48,1.0,1.5845086061332928e-06,0.017866986235918456
sio2 all 20 dish white_p10_r0103,60,68,44,52,1.0,1.912252365146933e-06,0.01800646909642659
sio2 all 20 dish white_p10_r0104,60,68,48,56,1.0,2.2950220334706185e-06,0.01808876989712986
sio2 all 20 dish white_p10_r0105,60,68,52,60,1.0,4.164464229526349e-06,0.018753247461077836
sio2 all 20 dish white_p10_r0106,60,68,56,64,1.0,4.541878208876343e-06,0.019179126251399534
sio2 all 20 dish white_p10_r0107,60,68,60,68,1.0,2.811816836421742e-06,0.018803332108083562
sio2 all 20 dish white_p10_r0108,60,68,64,72,0.984375,1.6132453677696262e-06,0.018841093545448776
sio2 all 20 dish white_p10_r0109,60,68,68,76,0.96875,2.2777047272320075e-06,0.019425557000677236
sio2 all 20 dish white_p10_r0110,60,68,72,80,0.984375,2.803630653394273e-06,0.019387564490005237
sio2 all 20 dish white_p10_r0111,60,68,76,84,1.0,2.3908124044355318e-06,0.018799708217492855
sio2 all 20 dish white_p10_r0112,60,68,80,88,0.921875,2.6888252884462803e-06,0.019082126046776546
sio2 all 20 dish white_p10_r0113,64,72,16,24,0.90625,6.7699497367215715e-06,0.021112651834850074
sio2 all 20 dish white_p10_r0114,64,72,20,28,0.984375,4.859655266066586e-06,0.020535898034351237
sio2 all 20 dish white_p10_r0115,64,72,24,32,0.984375,3.7313664900087665e-06,0.02029800606680182
sio2 all 20 dish white_p10_r0116,64,72,28,36,1.0,4.043694429187279e-06,0.020288282284510135
sio2 all 20 dish white_p10_r0117,64,72,32,40,1.0,3.554868507174778e-06,0.019846164296672342
sio2 all 20 dish white_p10_r0118,64,72,36,44,1.0,3.0102979569889e-06,0.019196742212222683
sio2 all 20 dish white_p10_r0119,64,72,40,48,1.0,2.4754108983038443e-06,0.01871435665699268
sio2 all 20 dish white_p10_r0120,64,72,44,52,1.0,2.3742527292551088e-06,0.018525018798217066
sio2 all 20 dish white_p10_r0121,64,72,48,56,1.0,2.2492422134233912e-06,0.018663272917993166
sio2 all 20 dish white_p10_r0122,64,72,52,60,1.0,2.6526929887030166e-06,0.019205945538924598
sio2 all 20 dish white_p10_r0123,64,72,56,64,1.0,3.462161723322321e-06,0.019736200828458395
sio2 all 20 dish white_p10_r0124,64,72,60,68,1.0,3.2823351521918783e-06,0.019599892811587853
sio2 all 20 dish white_p10_r0125,64,72,64,72,1.0,2.226330299745256e-06,0.01939452988446585
sio2 all 20 dish white_p10_r0126,64,72,68,76,1.0,2.215141070649385e-06,0.019777082506609762
sio2 all 20 dish white_p10_r0127,64,72,72,80,1.0,2.582700525703033e-06,0.019965459036618186
sio2 all 20 dish white_p10_r0128,64,72,76,84,1.0,2.9901186003952693e-06,0.020054841792004823
sio2 all 20 dish white_p10_r0129,64,72,80,88,0.90625,4.643585617770246e-06,0.020789277217468854
sio2 all 20 dish white_p10_r0130,68,76,28,36,0.953125,4.2693546033578374e-06,0.02155364285099072
sio2 all 20 dish white_p10_r0131,68,76,32,40,1.0,4.323912072680906e-06,0.021415554182446665
sio2 all 20 dish white_p10_r0132,68,76,36,44,1.0,4.2002694578756515e-06,0.02087266220143112
sio2 all 20 dish white_p10_r0133,68,76,40,48,1.0,4.01488704037155e-06,0.02039906111187889
sio2 all 20 dish white_p10_r0134,68,76,44,52,1.0,4.436887276986507e-06,0.02010351090200996
sio2 all 20 dish white_p10_r0135,68,76,48,56,1.0,3.834404972068427e-06,0.019634467921399466
sio2 all 20 dish white_p10_r0136,68,76,52,60,1.0,2.7354365454981964e-06,0.01952723473987582
sio2 all 20 dish white_p10_r0137,68,76,56,64,1.0,3.132089246626887e-06,0.020036999634950415
sio2 all 20 dish white_p10_r0138,68,76,60,68,1.0,3.0071410533903222e-06,0.02019080896689529
sio2 all 20 dish white_p10_r0139,68,76,64,72,1.0,2.5044478626265455e-06,0.020205874798643785
sio2 all 20 dish white_p10_r0140,68,76,68,76,1.0,2.6914301646344356e-06,0.020481689292391893
sio2 all 20 dish white_p10_r0141,68,76,72,80,1.0,2.8763314298396026e-06,0.020846543500111146
sio2 all 20 dish white_p10_r0142,68,76,76,84,1.0,3.5709000365884076e-06,0.021652631837361096
sio2 all 20 dish white_p10_r0143,68,76,80,88,0.9375,5.822797897703969e-06,0.023076021548694755
sio2 all 20 dish white_p10_r0144,72,80,36,44,0.953125,7.313134668912675e-06,0.023533423849760645
sio2 all 20 dish white_p10_r0145,72,80,40,48,1.0,6.0488864747762435e-06,0.02266863379356078
sio2 all 20 dish white_p10_r0146,72,80,44,52,1.0,4.134782623406855e-06,0.0216444593550841
sio2 all 20 dish white_p10_r0147,72,80,48,56,1.0,3.233954850877583e-06,0.02085124267148703
sio2 all 20 dish white_p10_r0148,72,80,52,60,1.0,2.8910671089731615e-06,0.020468951090907447
sio2 all 20 dish white_p10_r0149,72,80,56,64,1.0,3.088370790355109e-06,0.020471133246587156
sio2 all 20 dish white_p10_r0150,72,80,60,68,1.0,2.9283187620194844e-06,0.020526198534434215
sio2 all 20 dish white_p10_r0151,72,80,64,72,1.0,2.671314380598413e-06,0.02076929359323098
sio2 all 20 dish white_p10_r0152,72,80,68,76,1.0,2.399809367125306e-06,0.02112796493517472
sio2 all 20 dish white_p10_r0153,72,80,72,80,1.0,2.557385779067359e-06,0.021669640170491895
sio2 all 20 dish white_p10_r0154,72,80,76,84,1.0,3.041957130093959e-06,0.02267277229785739
sio2 all 20 dish white_p10_r0155,72,80,80,88,0.921875,8.715685679990872e-06,0.02466416319592185
sio2 all 20 dish white_p10_r0156,76,84,44,52,0.890625,3.5973295977309208e-06,0.022603181661156508
sio2 all 20 dish white_p10_r0157,76,84,48,56,1.0,3.65353068394629e-06,0.022157131832816535
sio2 all 20 dish white_p10_r0158,76,84,52,60,1.0,3.3172185291520754e-06,0.021867269064408775
sio2 all 20 dish white_p10_r0159,76,84,56,64,1.0,2.89547230226515e-06,0.021599908670289016
sio2 all 20 dish white_p10_r0160,76,84,60,68,1.0,2.7293067829501542e-06,0.021472298841807954
sio2 all 20 dish white_p10_r0161,76,84,64,72,1.0,2.7040701855306825e-06,0.021601118451466852
sio2 all 20 dish white_p10_r0162,76,84,68,76,1.0,2.6947299845599165e-06,0.0218525305469948
sio2 all 20 dish white_p10_r0163,76,84,72,80,1.0,2.7121191456801913e-06,0.02243635903530636
sio2 all 20 dish white_p10_r0164,76,84,76,84,1.0,4.122109082373452e-06,0.023539831080915945
sio2 all 20 dish white_p10_r0165,80,88,52,60,0.9375,6.557438597182071e-06,0.02406099898414391
sio2 all 20 dish white_p10_r0166,80,88,56,64,1.0,5.246431670086668e-06,0.023398174914806825
sio2 all 20 dish white_p10_r0167,80,88,60,68,1.0,3.1146488642402376e-06,0.02287375949544181
sio2 all 20 dish white_p10_r0168,80,88,64,72,1.0,2.9344984627414564e-06,0.02295580760773633
sio2 all 20 dish white_p10_r0169,80,88,68,76,1.0,3.10873691675457e-06,0.02307100118144433
sio2 all 20 dish white_p10_r0170,80,88,72,80,1.0,3.479994482264232e-06,0.0234966214046163
sio2 all 20 dish white_p10_r0171,80,88,76,84,0.9375,1.1096118868005923e-05,0.02517783609580223
sio2 all 20 dish white_p10_r0172,84,92,56,64,0.90625,9.82298267583364e-06,0.025938670656136045
sio2 all 20 dish white_p10_r0173,84,92,60,68,1.0,5.882338463756421e-06,0.024975719094802735
sio2 all 20 dish white_p10_r0174,84,92,64,72,1.0,5.114358091371132e-06,0.02489392064490022
sio2 all 20 dish white_p10_r0175,84,92,68,76,1.0,4.14344172909087e-06,0.024671643721778932
sio2 all 20 dish white_p10_r0176,84,92,72,80,0.953125,6.4530380577677195e-06,0.025172221421264025
