roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p03_r0001,0,8,20,28,0.875,5.9246559812932e-05,0.029516177254863062
bare silicon all_p03_r0002,0,8,24,32,0.875,2.5103991058371454e-05,0.02841115742368748
bare silicon all_p03_r0003,0,8,28,36,0.875,1.9024974968854287e-05,0.02848368472052728
bare silicon all_p03_r0004,0,8,32,40,0.875,3.1435694108698306e-05,0.029239008748329225
bare silicon all_p03_r0005,4,12,8,16,0.953125,0.00048279893107136367,0.03703505416772186
bare silicon all_p03_r0006,4,12,12,20,1.0,3.727738140862618e-06,0.0274316253730575
bare silicon all_p03_r0007,4,12,16,24,1.0,2.145181628188504e-06,0.02632730357024791
bare silicon all_p03_r0008,4,12,20,28,1.0,1.9091015491521746e-06,0.02587079341266804
bare silicon all_p03_r0009,4,12,24,32,1.0,2.04848693322936e-06,0.02581775224597003
bare silicon all_p03_r0010,4,12,28,36,1.0,2.4207417737567576e-06,0.026220394728610957
bare silicon all_p03_r0011,4,12,32,40,1.0,2.8599047311663215e-06,0.026813337007963334
bare silicon all_p03_r0012,4,12,36,44,1.0,2.797079178443548e-06,0.026836665010120164
bare silicon all_p03_r0013,4,12,40,48,1.0,3.338199819584072e-06,0.027256388774567254
bare silicon all_p03_r0014,4,12,44,52,1.0,1.1746486096631577e-05,0.02935966573762251
bare silicon all_p03_r0015,4,12,48,56,0.890625,0.00056843004227565,0.04270381988192057
bare silicon all_p03_r0016,8,16,8,16,1.0,0.000347544954784828,0.03472384675365067
bare silicon all_p03_r0017,8,16,12,20,1.0,3.251486802325163e-06,0.027341025306443948
bare silicon all_p03_r0018,8,16,16,24,1.0,3.1392527944489226e-06,0.02655460701963508
bare silicon all_p03_r0019,8,16,20,28,1.0,3.5296171427068687e-06,0.026271351933558014
bare silicon all_p03_r0020,8,16,24,32,1.0,3.783668446946647e-06,0.026153169291590582
bare silicon all_p03_r0021,8,16,28,36,1.0,3.397960313699607e-06,0.02610789720216032
bare silicon all_p03_r0022,8,16,32,40,1.0,3.151345814319215e-06,0.02624993824647825
