region_id,area,perimeter,compactness,centroid_row,centroid_col,mean_reflectance,mean_snv,spectral_variance,baseline_distance,mean_anomaly,pca_1,pca_2,pca_3
1,232,109.94722215136416,0.24117335579615007,78.54310344827586,70.54741379310344,0.04974021762609482,0.0,0.0027927503671167486,133.31264921805658,0.6425352683949483,-11.879981077857144,-1.3338007544077017,-1.8560230954208592
2,34,20.727922061357855,0.994436936676639,76.97058823529412,51.088235294117645,0.04942766949534416,0.0,0.00669587853389601,168.2276810602772,0.6577940623527347,-11.657896165876059,-2.100086319283869,-2.1907526695788695
3,90,43.11269837220809,0.6084739110070516,115.75555555555556,167.93333333333334,0.09569768607616425,-4.7369515717340015e-17,0.12078417564124716,265.42299908528685,0.7134155695936693,-10.906729072959054,-1.1570905407165561,-5.4115802966808015
4,33,18.48528137423857,1.213589115655796,166.1818181818182,167.03030303030303,0.0860336571931839,-4.7369515717340015e-17,0.31053930024961374,964.5552609370795,0.7300844109934288,-11.90424731014045,-4.432882071121188,-5.495781999456028
