roi_id,specimen,material,split,score_iforest
sio2 all 20 dish white_p01_r0065,sio2 all 20 dish white_p01,sio2,train,0.41124784432561623
sio2 all 20 dish white_p01_r0066,sio2 all 20 dish white_p01,sio2,train,0.407647648399294
sio2 all 20 dish white_p01_r0067,sio2 all 20 dish white_p01,sio2,train,0.4177937544010301
sio2 all 20 dish white_p01_r0068,sio2 all 20 dish white_p01,sio2,train,0.4200175759646334
sio2 all 20 dish white_p01_r0069,sio2 all 20 dish white_p01,sio2,train,0.4240345786136169
sio2 all 20 dish white_p01_r0070,sio2 all 20 dish white_p01,sio2,train,0.4204795868452268
sio2 all 20 dish white_p01_r0071,sio2 all 20 dish white_p01,sio2,train,0.42814331090535107
sio2 all 20 dish white_p01_r0072,sio2 all 20 dish white_p01,sio2,train,0.42582715491450346
sio2 all 20 dish white_p01_r0073,sio2 all 20 dish white_p01,sio2,train,0.4396780166327348
sio2 all 20 dish white_p01_r0074,sio2 all 20 dish white_p01,sio2,train,0.4822689051123775
sio2 all 20 dish white_p01_r0075,sio2 all 20 dish white_p01,sio2,train,0.45807263929415115
sio2 all 20 dish white_p01_r0076,sio2 all 20 dish white_p01,sio2,train,0.44758419442817726
sio2 all 20 dish white_p01_r0077,sio2 all 20 dish white_p01,sio2,train,0.43699466419474436
sio2 all 20 dish white_p01_r0078,sio2 all 20 dish white_p01,sio2,train,0.4551218185326803
sio2 all 20 dish white_p01_r0079,sio2 all 20 dish white_p01,sio2,train,0.46535865447741376
sio2 all 20 dish white_p01_r0080,sio2 all 20 dish white_p01,sio2,train,0.44383648112144297
sio2 all 20 dish white_p01_r0081,sio2 all 20 dish white_p01,sio2,train,0.40466032651742834
sio2 all 20 dish white_p01_r0082,sio2 all 20 dish white_p01,sio2,train,0.413867101872183
sio2 all 20 dish white_p01_r0083,sio2 all 20 dish white_p01,sio2,train,0.41675289467481585
sio2 all 20 dish white_p01_r0084,sio2 all 20 dish white_p01,sio2,train,0.4092372486527648
sio2 all 20 dish white_p01_r0085,sio2 all 20 dish white_p01,sio2,train,0.41478546734836497
sio2 all 20 dish white_p01_r0086,sio2 all 20 dish white_p01,sio2,train,0.4129878387413679
sio2 all 20 dish white_p01_r0087,sio2 all 20 dish white_p01,sio2,train,0.4173312020137176
sio2 all 20 dish white_p01_r0088,sio2 all 20 dish white_p01,sio2,train,0.41915064074014924
sio2 all 20 dish white_p01_r0089,sio2 all 20 dish white_p01,sio2,train,0.42216671249429394
sio2 all 20 dish white_p01_r0090,sio2 all 20 dish white_p01,sio2,train,0.42443398913918456
sio2 all 20 dish white_p01_r0091,sio2 all 20 dish white_p01,sio2,train,0.4238178673183883
sio2 all 20 dish white_p01_r0092,sio2 all 20 dish white_p01,sio2,train,0.4237905679361314
sio2 all 20 dish white_p01_r0093,sio2 all 20 dish white_p01,sio2,train,0.4295630666151188
sio2 all 20 dish white_p01_r0094,sio2 all 20 dish white_p01,sio2,train,0.45380913008792345
sio2 all 20 dish white_p01_r0095,sio2 all 20 dish white_p01,sio2,train,0.49146750158043345
sio2 all 20 dish white_p01_r0096,sio2 all 20 dish white_p01,sio2,train,0.4638974756529144
sio2 all 20 dish white_p01_r0097,sio2 all 20 dish white_p01,sio2,train,0.44160921213503335
sio2 all 20 dish white_p01_r0098,sio2 all 20 dish white_p01,sio2,train,0.4576870246453689
sio2 all 20 dish white_p01_r0099,sio2 all 20 dish white_p01,sio2,train,0.4754061802880468
sio2 all 20 dish white_p01_r0100,sio2 all 20 dish white_p01,sio2,train,0.4769129586862558
sio2 all 20 dish white_p01_r0101,sio2 all 20 dish white_p01,sio2,train,0.4546359030082115
sio2 all 20 dish white_p01_r0102,sio2 all 20 dish white_p01,sio2,train,0.40703889429283063
sio2 all 20 dish white_p01_r0103,sio2 all 20 dish white_p01,sio2,train,0.43232627587383415
sio2 all 20 dish white_p01_r0104,sio2 all 20 dish white_p01,sio2,train,0.41686126936385043
sio2 all 20 dish white_p01_r0105,sio2 all 20 dish white_p01,sio2,train,0.40606057321482514
sio2 all 20 dish white_p01_r0106,sio2 all 20 dish white_p01,sio2,train,0.43084329925467735
sio2 all 20 dish white_p01_r0107,sio2 all 20 dish white_p01,sio2,train,0.4163381253722342
sio2 all 20 dish white_p01_r0108,sio2 all 20 dish white_p01,sio2,train,0.41871276013108377
sio2 all 20 dish white_p01_r0109,sio2 all 20 dish white_p01,sio2,train,0.4082492606273154
sio2 all 20 dish white_p01_r0110,sio2 all 20 dish white_p01,sio2,train,0.41119535803277535
sio2 all 20 dish white_p01_r0111,sio2 all 20 dish white_p01,sio2,train,0.41914426652877884
sio2 all 20 dish white_p01_r0112,sio2 all 20 dish white_p01,sio2,train,0.41681038608532694
sio2 all 20 dish white_p01_r0113,sio2 all 20 dish white_p01,sio2,train,0.4254381977904187
sio2 all 20 dish white_p01_r0114,sio2 all 20 dish white_p01,sio2,train,0.4233496215120419
sio2 all 20 dish white_p01_r0115,sio2 all 20 dish white_p01,sio2,train,0.4330033322525469
sio2 all 20 dish white_p01_r0116,sio2 all 20 dish white_p01,sio2,train,0.4295916449456623
sio2 all 20 dish white_p01_r0117,sio2 all 20 dish white_p01,sio2,train,0.43428178316019816
sio2 all 20 dish white_p01_r0118,sio2 all 20 dish white_p01,sio2,train,0.4668900811082015
sio2 all 20 dish white_p01_r0119,sio2 all 20 dish white_p01,sio2,train,0.5043465028325753
sio2 all 20 dish white_p01_r0120,sio2 all 20 dish white_p01,sio2,train,0.5313869209727847
sio2 all 20 dish white_p01_r0121,sio2 all 20 dish white_p01,sio2,train,0.46926340816355366
sio2 all 20 dish white_p01_r0122,sio2 all 20 dish white_p01,sio2,train,0.4484393621210677
sio2 all 20 dish white_p01_r0123,sio2 all 20 dish white_p01,sio2,train,0.4379484326232653
sio2 all 20 dish white_p01_r0124,sio2 all 20 dish white_p01,sio2,train,0.4607772219474594
sio2 all 20 dish white_p01_r0125,sio2 all 20 dish white_p01,sio2,train,0.46675521416749866
sio2 all 20 dish white_p01_r0126,sio2 all 20 dish white_p01,sio2,train,0.4383058465209821
sio2 all 20 dish white_p01_r0127,sio2 all 20 dish white_p01,sio2,train,0.4166558576163402
sio2 all 20 dish white_p01_r0128,sio2 all 20 dish white_p01,sio2,train,0.4313888665727815
sio2 all 20 dish white_p01_r0129,sio2 all 20 dish white_p01,sio2,train,0.4261049245589878
sio2 all 20 dish white_p01_r0130,sio2 all 20 dish white_p01,sio2,train,0.417185841555406
sio2 all 20 dish white_p01_r0131,sio2 all 20 dish white_p01,sio2,train,0.426870379854331
sio2 all 20 dish white_p01_r0132,sio2 all 20 dish white_p01,sio2,train,0.4767865009538441
sio2 all 20 dish white_p01_r0133,sio2 all 20 dish white_p01,sio2,train,0.47679957804164874
sio2 all 20 dish white_p01_r0134,sio2 all 20 dish white_p01,sio2,train,0.4124777577456536
sio2 all 20 dish white_p01_r0135,sio2 all 20 dish white_p01,sio2,train,0.4213344051791041
sio2 all 20 dish white_p01_r0136,sio2 all 20 dish white_p01,sio2,train,0.41113280855385426
sio2 all 20 dish white_p01_r0137,sio2 all 20 dish white_p01,sio2,train,0.40977326736350994
sio2 all 20 dish white_p01_r0138,sio2 all 20 dish white_p01,sio2,train,0.4197861728594181
sio2 all 20 dish white_p01_r0139,sio2 all 20 dish white_p01,sio2,train,0.4269341134086386
sio2 all 20 dish white_p01_r0140,sio2 all 20 dish white_p01,sio2,train,0.4293227080487988
sio2 all 20 dish white_p01_r0141,sio2 all 20 dish white_p01,sio2,train,0.4363408974071499
sio2 all 20 dish white_p01_r0142,sio2 all 20 dish white_p01,sio2,train,0.4373872719464562
sio2 all 20 dish white_p01_r0143,sio2 all 20 dish white_p01,sio2,train,0.4263394667589162
sio2 all 20 dish white_p01_r0144,sio2 all 20 dish white_p01,sio2,train,0.45173919470921653
sio2 all 20 dish white_p01_r0145,sio2 all 20 dish white_p01,sio2,train,0.4948823765752405
sio2 all 20 dish white_p01_r0146,sio2 all 20 dish white_p01,sio2,train,0.5156499481089727
sio2 all 20 dish white_p01_r0147,sio2 all 20 dish white_p01,sio2,train,0.5241185410848247
sio2 all 20 dish white_p01_r0148,sio2 all 20 dish white_p01,sio2,train,0.4161909107504167
sio2 all 20 dish white_p01_r0149,sio2 all 20 dish white_p01,sio2,train,0.44485726844268514
sio2 all 20 dish white_p01_r0150,sio2 all 20 dish white_p01,sio2,train,0.45317386699052375
sio2 all 20 dish white_p01_r0151,sio2 all 20 dish white_p01,sio2,train,0.4402230019326529
sio2 all 20 dish white_p01_r0152,sio2 all 20 dish white_p01,sio2,train,0.4182187252756093
sio2 all 20 dish white_p01_r0153,sio2 all 20 dish white_p01,sio2,train,0.420486568943021
sio2 all 20 dish white_p01_r0154,sio2 all 20 dish white_p01,sio2,train,0.4152284062560334
sio2 all 20 dish white_p01_r0155,sio2 all 20 dish white_p01,sio2,train,0.4351514490187221
sio2 all 20 dish white_p01_r0156,sio2 all 20 dish white_p01,sio2,train,0.4353355213836091
sio2 all 20 dish white_p01_r0157,sio2 all 20 dish white_p01,sio2,train,0.4194778243620541
sio2 all 20 dish white_p01_r0158,sio2 all 20 dish white_p01,sio2,train,0.44229107654996064
sio2 all 20 dish white_p01_r0159,sio2 all 20 dish white_p01,sio2,train,0.49657034238225706
sio2 all 20 dish white_p01_r0160,sio2 all 20 dish white_p01,sio2,train,0.5205455335188929
sio2 all 20 dish white_p01_r0161,sio2 all 20 dish white_p01,sio2,train,0.47023159503915885
sio2 all 20 dish white_p01_r0162,sio2 all 20 dish white_p01,sio2,train,0.43013373184287995
sio2 all 20 dish white_p01_r0163,sio2 all 20 dish white_p01,sio2,train,0.4410912825803489
sio2 all 20 dish white_p01_r0164,sio2 all 20 dish white_p01,sio2,train,0.4089849470948891
sio2 all 20 dish white_p01_r0165,sio2 all 20 dish white_p01,sio2,train,0.4046910518561848
sio2 all 20 dish white_p01_r0166,sio2 all 20 dish white_p01,sio2,train,0.4153016151739078
sio2 all 20 dish white_p01_r0167,sio2 all 20 dish white_p01,sio2,train,0.41367686407668663
sio2 all 20 dish white_p01_r0168,sio2 all 20 dish white_p01,sio2,train,0.41796352672526815
sio2 all 20 dish white_p01_r0169,sio2 all 20 dish white_p01,sio2,train,0.4237118485823236
sio2 all 20 dish white_p01_r0170,sio2 all 20 dish white_p01,sio2,train,0.42408659328241166
sio2 all 20 dish white_p01_r0171,sio2 all 20 dish white_p01,sio2,train,0.4400342570628552
sio2 all 20 dish white_p01_r0172,sio2 all 20 dish white_p01,sio2,train,0.44811265043592985
sio2 all 20 dish white_p01_r0173,sio2 all 20 dish white_p01,sio2,train,0.4379669440919741
sio2 all 20 dish white_p01_r0174,sio2 all 20 dish white_p01,sio2,train,0.4366613990090609
sio2 all 20 dish white_p01_r0175,sio2 all 20 dish white_p01,sio2,train,0.4743863716241662
sio2 all 20 dish white_p01_r0176,sio2 all 20 dish white_p01,sio2,train,0.5144606384678662
sio2 all 20 dish white_p01_r0177,sio2 all 20 dish white_p01,sio2,train,0.5218716820046209
sio2 all 20 dish white_p01_r0178,sio2 all 20 dish white_p01,sio2,train,0.5346263195465297
sio2 all 20 dish white_p01_r0179,sio2 all 20 dish white_p01,sio2,train,0.415950574029005
sio2 all 20 dish white_p01_r0180,sio2 all 20 dish white_p01,sio2,train,0.4414036618605598
