roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p11_r0001,4,12,4,12,0.953125,2.084855101317205e-06,0.02541839718323082
sio2 all 20 dish white_p11_r0002,4,12,8,16,0.9375,1.7414306141734442e-06,0.025012086533646866
sio2 all 20 dish white_p11_r0003,4,12,12,20,0.984375,1.73249020972419e-06,0.024661218326102578
sio2 all 20 dish white_p11_r0004,4,12,16,24,1.0,1.566609111213407e-06,0.024394989767016158
sio2 all 20 dish white_p11_r0005,4,12,20,28,1.0,1.5628781523251366e-06,0.02428175208046375
sio2 all 20 dish white_p11_r0006,4,12,24,32,1.0,1.5203178568558057e-06,0.02421282909989807
sio2 all 20 dish white_p11_r0007,4,12,28,36,1.0,2.05485354306352e-06,0.02445296819304382
sio2 all 20 dish white_p11_r0008,4,12,32,40,1.0,2.5156701526892515e-06,0.025075084117684353
sio2 all 20 dish white_p11_r0009,4,12,36,44,1.0,3.130771031553182e-06,0.026126848048186293
sio2 all 20 dish white_p11_r0010,4,12,40,48,1.0,3.878204127980018e-06,0.027538405681931957
sio2 all 20 dish white_p11_r0011,4,12,44,52,1.0,4.5163634523932576e-06,0.02920168471189887
sio2 all 20 dish white_p11_r0012,4,12,48,56,0.953125,4.511024304997188e-06,0.030963936057759676
sio2 all 20 dish white_p11_r0013,8,16,8,16,1.0,1.8733929004352498e-06,0.024794688716244715
sio2 all 20 dish white_p11_r0014,8,16,12,20,1.0,1.6956029832785932e-06,0.024434129396843942
sio2 all 20 dish white_p11_r0015,8,16,16,24,1.0,1.4178877657998312e-06,0.02419051626050563
sio2 all 20 dish white_p11_r0016,8,16,20,28,1.0,1.3924225865595493e-06,0.02406773688652714
sio2 all 20 dish white_p11_r0017,8,16,24,32,1.0,1.5088135581720694e-06,0.023959481814219575
sio2 all 20 dish white_p11_r0018,8,16,28,36,1.0,1.9052070593799956e-06,0.024146966207966795
sio2 all 20 dish white_p11_r0019,8,16,32,40,1.0,2.3666898824839176e-06,0.02482454105046316
sio2 all 20 dish white_p11_r0020,8,16,36,44,1.0,2.8869386647800444e-06,0.02585802591893365
sio2 all 20 dish white_p11_r0021,8,16,40,48,1.0,3.7148742321992212e-06,0.027145551649573805
sio2 all 20 dish white_p11_r0022,8,16,44,52,1.0,4.024002734784965e-06,0.028728498115777205
sio2 all 20 dish white_p11_r0023,8,16,48,56,1.0,3.971691211768209e-06,0.030538374449780546
sio2 all 20 dish white_p11_r0024,8,16,52,60,0.875,2.830275596523415e-05,0.034080075677351086
sio2 all 20 dish white_p11_r0025,12,20,8,16,0.890625,1.7235545202186765e-06,0.02464440079785598
sio2 all 20 dish white_p11_r0026,12,20,12,20,1.0,1.6080923964034385e-06,0.024374447424940607
sio2 all 20 dish white_p11_r0027,12,20,16,24,1.0,1.5954551120406119e-06,0.024083776079567264
sio2 all 20 dish white_p11_r0028,12,20,20,28,1.0,1.5409081845151074e-06,0.023890056160557886
sio2 all 20 dish white_p11_r0029,12,20,24,32,1.0,1.5696110669572248e-06,0.02380904656651121
sio2 all 20 dish white_p11_r0030,12,20,28,36,1.0,1.7913379806235095e-06,0.02399213819967899
sio2 all 20 dish white_p11_r0031,12,20,32,40,1.0,2.2750502398451454e-06,0.02466207395056476
sio2 all 20 dish white_p11_r0032,12,20,36,44,1.0,2.822830961228389e-06,0.025664947441277234
sio2 all 20 dish white_p11_r0033,12,20,40,48,1.0,3.579206023850572e-06,0.026933281194265704
sio2 all 20 dish white_p11_r0034,12,20,44,52,1.0,4.219232007135443e-06,0.028606130559309117
sio2 all 20 dish white_p11_r0035,12,20,48,56,1.0,4.166973506175816e-06,0.03058578606182657
sio2 all 20 dish white_p11_r0036,16,24,12,20,1.0,1.7736947168587135e-06,0.024444130910172675
sio2 all 20 dish white_p11_r0037,16,24,16,24,1.0,1.8339172775157122e-06,0.024103351585005133
sio2 all 20 dish white_p11_r0038,16,24,20,28,1.0,1.7058003615720509e-06,0.02387992846572173
sio2 all 20 dish white_p11_r0039,16,24,24,32,1.0,1.88598058756658e-06,0.02398605498367384
sio2 all 20 dish white_p11_r0040,16,24,28,36,1.0,2.0662012329116463e-06,0.024247998973599926
sio2 all 20 dish white_p11_r0041,16,24,32,40,1.0,2.1003268435974717e-06,0.024637501007347306
sio2 all 20 dish white_p11_r0042,16,24,36,44,1.0,2.9912018119409792e-06,0.025517844178176166
sio2 all 20 dish white_p11_r0043,16,24,40,48,1.0,3.6708124029585367e-06,0.026864498320055354
sio2 all 20 dish white_p11_r0044,16,24,44,52,1.0,4.497050307134276e-06,0.02857699111517992
sio2 all 20 dish white_p11_r0045,16,24,48,56,1.0,4.617206217176244e-06,0.030622823081861945
sio2 all 20 dish white_p11_r0046,20,28,8,16,0.859375,1.744232717481937e-06,0.02456905341474632
sio2 all 20 dish white_p11_r0047,20,28,24,32,0.984375,2.355683424713589e-06,0.024406851454773604
sio2 all 20 dish white_p11_r0048,20,28,28,36,1.0,2.210317063250981e-06,0.02441482735917918
sio2 all 20 dish white_p11_r0049,20,28,32,40,1.0,2.1139779766039774e-06,0.024640720514039687
sio2 all 20 dish white_p11_r0050,20,28,36,44,1.0,2.9469459699685583e-06,0.025505633164457867
sio2 all 20 dish white_p11_r0051,20,28,40,48,1.0,3.6140641845425787e-06,0.026868365935851627
sio2 all 20 dish white_p11_r0052,20,28,44,52,1.0,4.150014527710975e-06,0.028558059574258086
sio2 all 20 dish white_p11_r0053,20,28,48,56,1.0,5.8721139232758285e-06,0.030767381086342194
sio2 all 20 dish white_p11_r0054,24,32,28,36,0.984375,2.0634339260669898e-06,0.02424330291047996
sio2 all 20 dish white_p11_r0055,24,32,32,40,1.0,2.286257477664257e-06,0.024578113484102455
sio2 all 20 dish white_p11_r0056,24,32,36,44,1.0,2.9468662859805153e-06,0.02548551145622974
sio2 all 20 dish white_p11_r0057,24,32,40,48,1.0,3.612739580668308e-06,0.026844211268170638
sio2 all 20 dish white_p11_r0058,24,32,44,52,1.0,4.1849330628883786e-06,0.02857530182956906
sio2 all 20 dish white_p11_r0059,24,32,48,56,1.0,8.331930803781427e-06,0.031203354959403715
sio2 all 20 dish white_p11_r0060,28,36,28,36,0.9375,2.0200080493928242e-06,0.02392488509139098
