roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p15_r0001,12,20,24,32,0.96875,8.125080845631138e-06,0.029845145334940402
sio2 all 20 dish white_p15_r0002,12,20,28,36,0.953125,4.562369814758277e-06,0.029307313077605965
sio2 all 20 dish white_p15_r0003,16,24,20,28,0.953125,1.1642561768756306e-05,0.02908237855164974
sio2 all 20 dish white_p15_r0004,16,24,24,32,0.90625,9.197536894123635e-06,0.02924262712961205
sio2 all 20 dish white_p15_r0005,16,24,28,36,0.859375,4.972671903512676e-06,0.02858157518930991
sio2 all 20 dish white_p15_r0006,20,28,16,24,0.890625,7.582475133292832e-06,0.024497263140044464
sio2 all 20 dish white_p15_r0007,20,28,20,28,0.890625,1.1510107806690902e-05,0.025517119792120884
sio2 all 20 dish white_p15_r0008,32,40,40,48,0.859375,3.3546258542127967e-06,0.022386996138725072
sio2 all 20 dish white_p15_r0009,32,40,44,52,0.984375,5.226732959895608e-06,0.024334429502981553
sio2 all 20 dish white_p15_r0010,32,40,48,56,0.984375,7.777801827909169e-06,0.026580874955637337
sio2 all 20 dish white_p15_r0011,32,40,52,60,0.859375,3.420350934492482e-05,0.0295947255615152
sio2 all 20 dish white_p15_r0012,36,44,40,48,0.984375,3.429695819883089e-06,0.021675376486775918
sio2 all 20 dish white_p15_r0013,36,44,44,52,1.0,6.476640337015082e-06,0.024412928332662166
sio2 all 20 dish white_p15_r0014,36,44,48,56,1.0,4.424559870701264e-06,0.02626486991433924
sio2 all 20 dish white_p15_r0015,36,44,52,60,1.0,1.5120449140018094e-05,0.027621666333112593
sio2 all 20 dish white_p15_r0016,40,48,40,48,0.984375,3.0997456501153133e-06,0.02113053219195815
sio2 all 20 dish white_p15_r0017,40,48,44,52,1.0,5.852244228864415e-06,0.02321009224907898
sio2 all 20 dish white_p15_r0018,40,48,48,56,0.984375,4.848644211936519e-06,0.024531800472659338
sio2 all 20 dish white_p15_r0019,40,48,52,60,0.984375,5.315849476964922e-06,0.025512966084917134
sio2 all 20 dish white_p15_r0020,44,52,44,52,0.890625,4.556356311830065e-06,0.021995294006685446
