roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
sio2 all 20 dish white_p14_r0001,4,12,32,40,0.953125,2.9326690287819387e-05,0.023814894177191903
sio2 all 20 dish white_p14_r0002,4,12,36,44,1.0,2.89718097796396e-05,0.023817372314741337
sio2 all 20 dish white_p14_r0003,4,12,40,48,1.0,7.2309904807523e-05,0.025194625647906786
sio2 all 20 dish white_p14_r0004,4,12,44,52,0.96875,0.00029251611783399375,0.029730756528836808
sio2 all 20 dish white_p14_r0005,8,16,16,24,0.953125,1.3686072098737654e-05,0.022936757496638868
sio2 all 20 dish white_p14_r0006,8,16,20,28,1.0,8.912911622998653e-06,0.021963602694814413
sio2 all 20 dish white_p14_r0007,8,16,24,32,1.0,4.970076787388662e-06,0.021114434883284953
sio2 all 20 dish white_p14_r0008,8,16,28,36,1.0,4.438297468788323e-06,0.02066332129132535
sio2 all 20 dish white_p14_r0009,8,16,32,40,1.0,3.851108969011463e-06,0.02057622784243767
sio2 all 20 dish white_p14_r0010,8,16,36,44,1.0,3.7326963702976423e-06,0.020844421675311187
sio2 all 20 dish white_p14_r0011,8,16,40,48,1.0,5.397163899538084e-06,0.021537088723653758
sio2 all 20 dish white_p14_r0012,8,16,44,52,1.0,1.0267476912026934e-05,0.023162535839543707
sio2 all 20 dish white_p14_r0013,8,16,48,56,0.90625,1.1773127569438532e-05,0.024805970825265214
sio2 all 20 dish white_p14_r0014,12,20,8,16,0.90625,2.263239646331661e-06,0.0224756604081775
sio2 all 20 dish white_p14_r0015,12,20,12,20,1.0,2.1315218335315104e-06,0.021911835636195393
sio2 all 20 dish white_p14_r0016,12,20,16,24,1.0,1.982163526918747e-06,0.021165754035087084
sio2 all 20 dish white_p14_r0017,12,20,20,28,1.0,1.8124426989362961e-06,0.020425578822921616
sio2 all 20 dish white_p14_r0018,12,20,24,32,1.0,1.6290491519909327e-06,0.019879321979307918
sio2 all 20 dish white_p14_r0019,12,20,28,36,1.0,1.633147306044712e-06,0.0195744793154202
sio2 all 20 dish white_p14_r0020,12,20,32,40,1.0,1.6285978883757816e-06,0.019583778326175784
sio2 all 20 dish white_p14_r0021,12,20,36,44,1.0,1.5648153541170996e-06,0.019891183705536563
sio2 all 20 dish white_p14_r0022,12,20,40,48,1.0,1.909144525296952e-06,0.020425091381802183
sio2 all 20 dish white_p14_r0023,12,20,44,52,1.0,3.1598014000474925e-06,0.02132892295652842
sio2 all 20 dish white_p14_r0024,12,20,48,56,1.0,4.462712423464614e-06,0.02260650565835159
sio2 all 20 dish white_p14_r0025,16,24,4,12,1.0,2.3435823578959615e-06,0.022164081913398224
sio2 all 20 dish white_p14_r0026,16,24,8,16,1.0,2.201743789893452e-06,0.021776614615522445
sio2 all 20 dish white_p14_r0027,16,24,12,20,1.0,2.045024865787164e-06,0.02124756289740963
sio2 all 20 dish white_p14_r0028,16,24,16,24,1.0,2.002609150361335e-06,0.020486460279460623
sio2 all 20 dish white_p14_r0029,16,24,20,28,1.0,1.8703794707512202e-06,0.019729168176762145
sio2 all 20 dish white_p14_r0030,16,24,24,32,1.0,1.4943689231433676e-06,0.01923248055112341
sio2 all 20 dish white_p14_r0031,16,24,28,36,1.0,1.5318813457300212e-06,0.019079564514889527
sio2 all 20 dish white_p14_r0032,16,24,32,40,1.0,1.6562185054973092e-06,0.019262645127641986
sio2 all 20 dish white_p14_r0033,16,24,36,44,1.0,1.5709308170659004e-06,0.019516783622321978
sio2 all 20 dish white_p14_r0034,16,24,40,48,1.0,1.894654645485506e-06,0.01998592765026525
sio2 all 20 dish white_p14_r0035,16,24,44,52,1.0,2.3302100342105088e-06,0.020597433807135013
sio2 all 20 dish white_p14_r0036,16,24,48,56,1.0,2.65687402883111e-06,0.021362982993520182
sio2 all 20 dish white_p14_r0037,16,24,52,60,0.96875,9.290727158007215e-05,0.02616152130637357
sio2 all 20 dish white_p14_r0038,20,28,4,12,1.0,1.8098994087453096e-06,0.021556351833771793
sio2 all 20 dish white_p14_r0039,20,28,8,16,1.0,1.8365239998009137e-06,0.020978864538955855
sio2 all 20 dish white_p14_r0040,20,28,12,20,1.0,1.9878716788995554e-06,0.020418530033994537
sio2 all 20 dish white_p14_r0041,20,28,16,24,1.0,1.967142460537335e-06,0.019680350233064865
sio2 all 20 dish white_p14_r0042,20,28,20,28,1.0,1.6395026205606076e-06,0.019011109013863353
sio2 all 20 dish white_p14_r0043,20,28,24,32,1.0,1.5026084440744006e-06,0.018722518998245306
sio2 all 20 dish white_p14_r0044,20,28,28,36,1.0,1.60192438338367e-06,0.0186549519907905
sio2 all 20 dish white_p14_r0045,20,28,32,40,0.984375,1.8336252403891566e-06,0.01893407164389625
sio2 all 20 dish white_p14_r0046,20,28,36,44,0.859375,2.479039092938879e-06,0.019508544096908543
sio2 all 20 dish white_p14_r0047,20,28,40,48,0.875,3.586631852800946e-06,0.020193716060275837
sio2 all 20 dish white_p14_r0048,20,28,44,52,1.0,3.4381135699373577e-06,0.02028591192059537
sio2 all 20 dish white_p14_r0049,20,28,48,56,1.0,2.329178071838328e-06,0.020550481324917557
sio2 all 20 dish white_p14_r0050,20,28,52,60,1.0,4.498506780150578e-05,0.023767468141006668
sio2 all 20 dish white_p14_r0051,24,32,4,12,1.0,1.8967505048982884e-06,0.021232391763047177
sio2 all 20 dish white_p14_r0052,24,32,8,16,1.0,1.8269897971632414e-06,0.020484425594265783
sio2 all 20 dish white_p14_r0053,24,32,12,20,1.0,1.6274836596714549e-06,0.019748701155721637
sio2 all 20 dish white_p14_r0054,24,32,16,24,1.0,1.6886126950120177e-06,0.019074154104287117
