roi_id,r0,r1,c0,c1,coverage,spectral_variance,mean_reflectance
bare silicon all_p01_r0001,4,12,160,168,0.875,0.00023931934003583382,0.03873324287265909
bare silicon all_p01_r0002,4,12,164,172,0.90625,4.220478434770911e-05,0.0361369547958481
bare silicon all_p01_r0003,8,16,160,168,1.0,8.335504769429473e-05,0.0348742089268526
bare silicon all_p01_r0004,8,16,164,172,1.0,8.368950869320726e-06,0.03363705589200875
bare silicon all_p01_r0005,8,16,168,176,0.9375,0.0003348298771249791,0.042121782015693464
bare silicon all_p01_r0006,12,20,156,164,0.96875,0.0002000295365529451,0.03440454716896929
bare silicon all_p01_r0007,12,20,160,168,1.0,3.004609183055465e-05,0.031139309818885436
bare silicon all_p01_r0008,12,20,164,172,1.0,2.783749583980999e-05,0.031121931773623206
bare silicon all_p01_r0009,12,20,168,176,1.0,0.00016486484162111994,0.03552027886740373
bare silicon all_p01_r0010,16,24,152,160,0.90625,0.0002618898146817742,0.03292370659593856
bare silicon all_p01_r0011,16,24,156,164,1.0,9.301782513119568e-06,0.027993750426300916
bare silicon all_p01_r0012,16,24,160,168,1.0,5.110984049547564e-06,0.027484216452666046
bare silicon all_p01_r0013,16,24,164,172,1.0,4.963343978586055e-06,0.02767367008123543
bare silicon all_p01_r0014,16,24,168,176,1.0,2.1837632755655443e-05,0.029419549194258394
bare silicon all_p01_r0015,20,28,152,160,1.0,4.2134965625813244e-05,0.02763776928377143
bare silicon all_p01_r0016,20,28,156,164,1.0,3.39252337091865e-06,0.02619845393822805
bare silicon all_p01_r0017,20,28,160,168,1.0,2.876635100885666e-06,0.026043290881651967
bare silicon all_p01_r0018,20,28,164,172,1.0,2.9183975401978032e-06,0.026320195577966377
bare silicon all_p01_r0019,20,28,168,176,1.0,6.265727557114214e-06,0.02724020840853098
bare silicon all_p01_r0020,20,28,172,180,0.953125,0.0004037402365352098,0.037538718393804654
bare silicon all_p01_r0021,24,32,148,156,0.984375,0.00014924647357790396,0.028895915335018483
bare silicon all_p01_r0022,24,32,152,160,1.0,2.553492123002872e-06,0.025649864662286852
bare silicon all_p01_r0023,24,32,156,164,1.0,2.2309293675447993e-06,0.025212623990759412
bare silicon all_p01_r0024,24,32,160,168,1.0,1.9587748711315944e-06,0.02517348935435663
bare silicon all_p01_r0025,24,32,164,172,1.0,1.8437235910565877e-06,0.025504665296575017
bare silicon all_p01_r0026,24,32,168,176,1.0,2.409433879184688e-06,0.026151817285497873
bare silicon all_p01_r0027,24,32,172,180,1.0,0.00019966023603932542,0.0326528463104229
bare silicon all_p01_r0028,28,36,144,152,0.921875,0.00022296206216980714,0.030468935449390278
bare silicon all_p01_r0029,28,36,148,156,1.0,2.892769474554182e-06,0.02578516535686787
bare silicon all_p01_r0030,28,36,152,160,1.0,1.969158135897579e-06,0.025130556394383604
bare silicon all_p01_r0031,28,36,156,164,1.0,1.7095244176926253e-06,0.024826319485032264
bare silicon all_p01_r0032,28,36,160,168,1.0,1.6808079578852738e-06,0.02493495256262272
bare silicon all_p01_r0033,28,36,164,172,1.0,2.5030133001236786e-06,0.02552833039050891
bare silicon all_p01_r0034,28,36,168,176,1.0,2.4552656630439035e-06,0.02597458555780385
bare silicon all_p01_r0035,28,36,172,180,1.0,4.634166863646885e-05,0.028959071172049596
bare silicon all_p01_r0036,32,40,144,152,1.0,2.435097378485772e-05,0.026625600225843624
bare silicon all_p01_r0037,32,40,148,156,1.0,1.7310883623193672e-06,0.02532022607608724
bare silicon all_p01_r0038,32,40,152,160,1.0,1.8020266731390277e-06,0.02489334497428462
bare silicon all_p01_r0039,32,40,156,164,1.0,1.7265936525237037e-06,0.02466993169520242
bare silicon all_p01_r0040,32,40,160,168,1.0,1.8289134829875455e-06,0.024832426718700198
bare silicon all_p01_r0041,32,40,164,172,1.0,2.578899841610601e-06,0.025400767812706355
bare silicon all_p01_r0042,32,40,168,176,1.0,2.595800273221676e-06,0.02576678312691395
bare silicon all_p01_r0043,32,40,172,180,1.0,1.3795677899409193e-05,0.027405467162966445
bare silicon all_p01_r0044,32,40,176,184,0.859375,0.0005924690019042798,0.041224094694060354
bare silicon all_p01_r0045,36,44,140,148,0.984375,0.00011611546938524562,0.028578779211808767
bare silicon all_p01_r0046,36,44,144,152,1.0,2.227155714313525e-06,0.02558983814111171
bare silicon all_p01_r0047,36,44,148,156,1.0,1.6845725709579965e-06,0.02504539482100824
bare silicon all_p01_r0048,36,44,152,160,1.0,1.7570139340320473e-06,0.024648936078695418
bare silicon all_p01_r0049,36,44,156,164,1.0,1.709887338941163e-06,0.02443213004638713
bare silicon all_p01_r0050,36,44,160,168,1.0,1.6621188387207097e-06,0.024493131635411232
bare silicon all_p01_r0051,36,44,164,172,1.0,1.6924177038751356e-06,0.024789464608345916
bare silicon all_p01_r0052,36,44,168,176,1.0,1.9083743866141542e-06,0.02527411340380919
bare silicon all_p01_r0053,36,44,172,180,1.0,6.474359489835951e-06,0.026634452701931956
bare silicon all_p01_r0054,36,44,176,184,0.9375,0.0004734636273034354,0.0389100430399313
bare silicon all_p01_r0055,40,48,136,144,0.9375,0.00025488841919023666,0.031283164149392105
bare silicon all_p01_r0056,40,48,140,148,1.0,3.6650801680238096e-06,0.02615667107453446
bare silicon all_p01_r0057,40,48,144,152,1.0,2.3878789436626207e-06,0.025111662109034216
bare silicon all_p01_r0058,40,48,148,156,1.0,1.962057468884917e-06,0.02454717921708581
bare silicon all_p01_r0059,40,48,152,160,1.0,1.8228659953767045e-06,0.02419671313816619
bare silicon all_p01_r0060,40,48,156,164,1.0,1.7088614643074783e-06,0.023981583775932035
